$t$ / s;$U_A1$ / V;$U_B1$ / V
0;0,164;2,6
0,1;0,057;2,5
0,2;-0,065;2,38
0,3;-0,185;2,25
0,4;-0,287;2,14
0,5;-0,364;2,04
0,6;-0,408;1,98
0,7;-0,414;1,95
0,8;-0,385;1,96
0,9;-0,324;2,02
1;-0,235;2,11
1,1;-0,128;2,23
1,2;-0,01;2,36
1,3;0,1;2,48
1,4;0,196;2,59
1,5;0,271;2,68
1,6;0,312;2,73
1,7;0,317;2,74
1,8;0,285;2,71
1,9;0,221;2,64
2;0,132;2,54
2,1;0,02;2,42
2,2;-0,098;2,3
2,3;-0,212;2,18
2,4;-0,306;2,07
2,5;-0,376;2
2,6;-0,415;1,96
2,7;-0,418;1,96
2,8;-0,378;2
2,9;-0,307;2,08
3;-0,212;2,18
3,1;-0,093;2,3
3,2;0,03;2,43
3,3;0,145;2,54
3,4;0,238;2,64
3,5;0,304;2,7
3,6;0,337;2,73
3,7;0,328;2,71
3,8;0,279;2,66
3,9;0,199;2,58
4;0,091;2,47
4,1;-0,03;2,36
4,2;-0,158;2,24
4,3;-0,272;2,13
4,4;-0,362;2,05
4,5;-0,42;2
4,6;-0,441;1,98
4,7;-0,415;1,99
4,8;-0,359;2,05
4,9;-0,269;2,13
5;-0,151;2,23
5,1;-0,025;2,35
5,2;0,102;2,47
5,3;0,212;2,57
5,4;0,29;2,65
5,5;0,336;2,7
5,6;0,345;2,72
5,7;0,306;2,69
5,8;0,238;2,64
5,9;0,135;2,55
6;0,015;2,45
6,1;-0,108;2,32
6,2;-0,224;2,21
6,3;-0,325;2,11
6,4;-0,395;2,03
6,5;-0,429;1,98
6,6;-0,421;1,97
6,7;-0,376;2
6,8;-0,299;2,06
6,9;-0,195;2,16
7;-0,078;2,27
7,1;0,042;2,39
7,2;0,154;2,51
7,3;0,242;2,61
7,4;0,307;2,68
7,5;0,328;2,73
7,6;0,31;2,73
7,7;0,261;2,69
7,8;0,181;2,61
7,9;0,078;2,51
8;-0,037;2,39
8,1;-0,155;2,26
8,2;-0,26;2,14
8,3;-0,343;2,05
8,4;-0,398;1,98
8,5;-0,414;1,95
8,6;-0,394;1,96
8,7;-0,338;2,02
8,8;-0,257;2,11
8,9;-0,153;2,21
9;-0,04;2,34
9,1;0,08;2,46
9,2;0,18;2,57
9,3;0,26;2,66
9,4;0,311;2,72
9,5;0,326;2,74
9,6;0,302;2,71
9,7;0,243;2,65
9,8;0,151;2,55
9,9;0,041;2,44
10;-0,077;2,31
10,1;-0,194;2,2
10,2;-0,296;2,09
10,3;-0,37;2,02
10,4;-0,414;1,97
