$t$ / s;$U_A1$ / V;$U_B1$ / V
0;-0,025;2,27
0,1;-0,118;2,37
0,2;-0,204;2,46
0,3;-0,275;2,54
0,4;-0,317;2,6
0,5;-0,323;2,62
0,6;-0,295;2,61
0,7;-0,238;2,56
0,8;-0,159;2,49
0,9;-0,064;2,39
1;0,027;2,3
1,1;0,104;2,22
1,2;0,151;2,16
1,3;0,164;2,13
1,4;0,142;2,14
1,5;0,09;2,18
1,6;0,007;2,25
1,7;-0,085;2,34
1,8;-0,181;2,43
1,9;-0,263;2,51
2;-0,314;2,57
2,1;-0,335;2,6
2,2;-0,319;2,6
2,3;-0,27;2,56
2,4;-0,192;2,49
2,5;-0,099;2,41
2,6;-0,002;2,32
2,7;0,081;2,23
2,8;0,144;2,18
2,9;0,172;2,15
3;0,164;2,15
3,1;0,121;2,18
3,2;0,047;2,25
3,3;-0,046;2,33
3,4;-0,144;2,42
3,5;-0,233;2,51
3,6;-0,302;2,57
3,7;-0,336;2,61
3,8;-0,335;2,6
3,9;-0,292;2,57
4;-0,226;2,51
4,1;-0,137;2,43
4,2;-0,038;2,34
4,3;0,053;2,25
4,4;0,121;2,19
4,5;0,165;2,15
4,6;0,165;2,14
4,7;0,137;2,17
4,8;0,073;2,23
4,9;-0,013;2,32
5;-0,106;2,4
5,1;-0,197;2,49
5,2;-0,272;2,56
5,3;-0,318;2,61
5,4;-0,33;2,62
5,5;-0,306;2,59
5,6;-0,25;2,53
5,7;-0,168;2,45
5,8;-0,075;2,35
5,9;0,016;2,26
6;0,095;2,19
6,1;0,145;2,14
6,2;0,156;2,13
6,3;0,139;2,15
6,4;0,087;2,2
6,5;0,01;2,28
6,6;-0,081;2,38
6,7;-0,17;2,47
6,8;-0,246;2,56
6,9;-0,3;2,61
7;-0,316;2,63
7,1;-0,305;2,61
7,2;-0,253;2,56
7,3;-0,182;2,49
7,4;-0,093;2,4
7,5;-0,003;2,3
7,6;0,072;2,21
7,7;0,131;2,15
7,8;0,15;2,12
7,9;0,138;2,13
8;0,095;2,18
8,1;0,023;2,25
8,2;-0,068;2,34
8,3;-0,156;2,44
8,4;-0,234;2,53
8,5;-0,292;2,6
8,6;-0,317;2,63
8,7;-0,307;2,63
8,8;-0,263;2,59
8,9;-0,193;2,52
9;-0,106;2,44
9,1;-0,017;2,34
9,2;0,067;2,24
9,3;0,123;2,17
9,4;0,151;2,13
9,5;0,146;2,13
9,6;0,104;2,16
9,7;0,035;2,22
9,8;-0,049;2,31
9,9;-0,144;2,4
10;-0,227;2,5
10,1;-0,288;2,57
10,2;-0,322;2,61
10,3;-0,32;2,63
10,4;-0,279;2,6
10,5;-0,214;2,54
10,6;-0,124;2,46
10,7;-0,027;2,36
10,8;0,06;2,28
10,9;0,126;2,2
11;0,161;2,15
11,1;0,164;2,14
11,2;0,129;2,16
11,3;0,064;2,21
11,4;-0,026;2,28
11,5;-0,119;2,37
11,6;-0,213;2,47
11,7;-0,286;2,55
11,8;-0,327;2,59
11,9;-0,339;2,61
12;-0,31;2,59
12,1;-0,248;2,55
12,2;-0,163;2,47
12,3;-0,062;2,39
12,4;0,033;2,29
12,5;0,11;2,22
12,6;0,161;2,17
12,7;0,176;2,15
12,8;0,153;2,16
12,9;0,098;2,21
13;0,016;2,28
13,1;-0,081;2,37
13,2;-0,181;2,46
13,3;-0,262;2,53
13,4;-0,318;2,58
13,5;-0,341;2,61
13,6;-0,324;2,6
13,7;-0,276;2,56
13,8;-0,199;2,48
13,9;-0,103;2,4
14;-0,006;2,31
14,1;0,079;2,23
14,2;0,141;2,17
14,3;0,167;2,14
14,4;0,16;2,15
14,5;0,117;2,19
14,6;0,046;2,26
14,7;-0,044;2,35
14,8;-0,138;2,44
14,9;-0,229;2,53
15;-0,292;2,59
15,1;-0,328;2,62
15,2;-0,326;2,61
15,3;-0,287;2,57
15,4;-0,22;2,51
15,5;-0,128;2,42
15,6;-0,038;2,33
15,7;0,045;2,24
15,8;0,115;2,17
15,9;0,152;2,13
16;0,153;2,13
16,1;0,123;2,17
16,2;0,057;2,23
16,3;-0,026;2,32
16,4;-0,114;2,42
16,5;-0,201;2,51
16,6;-0,27;2,58
16,7;-0,31;2,62
16,8;-0,316;2,63
16,9;-0,287;2,6
17;-0,231;2,54
17,1;-0,147;2,45
17,2;-0,059;2,35
17,3;0,028;2,27
17,4;0,098;2,19
17,5;0,14;2,14
17,6;0,149;2,12
17,7;0,122;2,14
17,8;0,067;2,2
17,9;-0,013;2,28
18;-0,1;2,38
18,1;-0,187;2,47
18,2;-0,26;2,55
18,3;-0,305;2,61
18,4;-0,314;2,63
18,5;-0,29;2,62
18,6;-0,237;2,57
18,7;-0,156;2,49
18,8;-0,068;2,4
18,9;0,017;2,3
19;0,091;2,22
19,1;0,135;2,16
19,2;0,154;2,13
19,3;0,132;2,14
19,4;0,08;2,18
19,5;0,002;2,25
19,6;-0,089;2,34
19,7;-0,176;2,44
19,8;-0,255;2,52
19,9;-0,304;2,59
20;-0,326;2,62
20,1;-0,306;2,62
20,2;-0,258;2,58
20,3;-0,181;2,51
20,4;-0,091;2,42
20,5;0,005;2,33
20,6;0,083;2,25
20,7;0,141;2,18
20,8;0,165;2,15
20,9;0,154;2,15
21;0,108;2,18
21,1;0,032;2,24
21,2;-0,061;2,32
21,3;-0,156;2,41
21,4;-0,239;2,5
21,5;-0,3;2,56
21,6;-0,333;2,6
21,7;-0,326;2,61
21,8;-0,284;2,57
21,9;-0,213;2,52
22;-0,123;2,44
22,1;-0,025;2,36
22,2;0,062;2,27
22,3;0,13;2,2
22,4;0,166;2,16
22,5;0,168;2,15
22,6;0,132;2,18
22,7;0,068;2,23
22,8;-0,022;2,31
22,9;-0,118;2,4
23;-0,21;2,48
23,1;-0,28;2,55
23,2;-0,325;2,59
23,3;-0,334;2,61
23,4;-0,305;2,58
23,5;-0,242;2,53
23,6;-0,159;2,45
23,7;-0,065;2,36
23,8;0,025;2,28
23,9;0,1;2,21
24;0,149;2,16
24,1;0,164;2,15
24,2;0,146;2,17
24,3;0,09;2,22
24,4;0,013;2,29
24,5;-0,075;2,38
24,6;-0,171;2,47
24,7;-0,25;2,55
24,8;-0,303;2,6
24,9;-0,323;2,61
25;-0,306;2,59
25,1;-0,26;2,55
25,2;-0,184;2,47
25,3;-0,096;2,38
25,4;-0,009;2,3
25,5;0,07;2,21
25,6;0,124;2,16
25,7;0,149;2,14
25,8;0,137;2,15
25,9;0,097;2,2
26;0,028;2,27
26,1;-0,057;2,36
26,2;-0,147;2,45
26,3;-0,223;2,53
26,4;-0,28;2,59
26,5;-0,309;2,63
26,6;-0,3;2,62
26,7;-0,261;2,58
26,8;-0,197;2,51
26,9;-0,117;2,42
27;-0,029;2,32
27,1;0,052;2,23
27,2;0,111;2,16
27,3;0,139;2,13
27,4;0,135;2,13
27,5;0,097;2,17
27,6;0,034;2,23
27,7;-0,047;2,32
27,8;-0,132;2,41
27,9;-0,214;2,5
28;-0,274;2,57
28,1;-0,308;2,62
