$t$ / s;$U_A1$ / V;$U_B1$ / V
0;-0,204;2,12
0,1;-0,21;2,19
0,2;-0,21;2,29
0,3;-0,211;2,42
0,4;-0,206;2,55
0,5;-0,197;2,67
0,6;-0,186;2,78
0,7;-0,172;2,85
0,8;-0,157;2,88
0,9;-0,144;2,87
1;-0,129;2,82
1,1;-0,119;2,73
1,2;-0,113;2,62
1,3;-0,117;2,49
1,4;-0,126;2,36
1,5;-0,135;2,25
1,6;-0,155;2,16
1,7;-0,174;2,1
1,8;-0,197;2,08
1,9;-0,215;2,1
2;-0,232;2,17
2,1;-0,243;2,27
2,2;-0,247;2,38
2,3;-0,244;2,51
2,4;-0,232;2,63
2,5;-0,214;2,74
2,6;-0,193;2,82
2,7;-0,166;2,86
2,8;-0,141;2,87
2,9;-0,116;2,83
3;-0,095;2,75
3,1;-0,083;2,65
3,2;-0,081;2,53
3,3;-0,084;2,4
3,4;-0,104;2,28
3,5;-0,129;2,18
3,6;-0,157;2,12
3,7;-0,189;2,09
3,8;-0,22;2,1
3,9;-0,249;2,15
4;-0,268;2,24
4,1;-0,28;2,36
4,2;-0,279;2,48
4,3;-0,269;2,6
4,4;-0,244;2,71
4,5;-0,21;2,79
4,6;-0,176;2,85
4,7;-0,139;2,86
4,8;-0,102;2,84
4,9;-0,072;2,77
5;-0,051;2,68
5,1;-0,043;2,56
5,2;-0,051;2,44
5,3;-0,068;2,32
5,4;-0,099;2,22
5,5;-0,137;2,15
5,6;-0,18;2,11
5,7;-0,223;2,11
5,8;-0,263;2,15
5,9;-0,295;2,22
6;-0,314;2,33
6,1;-0,316;2,44
6,2;-0,306;2,56
6,3;-0,277;2,67
6,4;-0,24;2,76
6,5;-0,191;2,82
6,6;-0,147;2,85
6,7;-0,099;2,83
6,8;-0,055;2,78
6,9;-0,029;2,69
7;-0,015;2,59
7,1;-0,012;2,47
7,2;-0,03;2,36
7,3;-0,066;2,25
7,4;-0,111;2,18
7,5;-0,162;2,13
7,6;-0,216;2,12
7,7;-0,269;2,15
7,8;-0,312;2,21
7,9;-0,341;2,3
8;-0,353;2,41
8,1;-0,345;2,52
8,2;-0,318;2,64
8,3;-0,272;2,73
8,4;-0,221;2,79
8,5;-0,162;2,83
8,6;-0,102;2,82
8,7;-0,05;2,78
8,8;-0,008;2,71
8,9;0,016;2,61
9;0,021;2,5
9,1;0,004;2,39
9,2;-0,032;2,29
9,3;-0,084;2,21
9,4;-0,142;2,16
9,5;-0,209;2,13
9,6;-0,266;2,15
9,7;-0,317;2,2
9,8;-0,362;2,28
9,9;-0,377;2,38
10;-0,376;2,49
10,1;-0,355;2,6
10,2;-0,309;2,7
10,3;-0,245;2,76
10,4;-0,181;2,8
10,5;-0,111;2,81
10,6;-0,046;2,77
10,7;0,007;2,72
10,8;0,042;2,63
10,9;0,052;2,54
11;0,041;2,43
11,1;0,008;2,33
11,2;-0,046;2,25
11,3;-0,116;2,19
11,4;-0,192;2,16
11,5;-0,264;2,17
11,6;-0,327;2,21
11,7;-0,377;2,27
11,8;-0,405;2,36
11,9;-0,407;2,46
12;-0,39;2,57
12,1;-0,345;2,65
12,2;-0,278;2,73
12,3;-0,204;2,78
12,4;-0,125;2,79
12,5;-0,048;2,77
12,6;0,014;2,72
12,7;0,058;2,65
12,8;0,076;2,56
12,9;0,072;2,46
13;0,04;2,36
13,1;-0,012;2,28
13,2;-0,084;2,22
13,3;-0,165;2,18
13,4;-0,252;2,18
13,5;-0,324;2,21
13,6;-0,385;2,26
13,7;-0,423;2,34
13,8;-0,438;2,44
13,9;-0,422;2,53
14;-0,379;2,62
14,1;-0,315;2,69
14,2;-0,235;2,74
14,3;-0,148;2,76
14,4;-0,06;2,75
14,5;0,016;2,72
14,6;0,072;2,66
14,7;0,103;2,57
14,8;0,101;2,49
14,9;0,075;2,4
15;0,023;2,31
15,1;-0,052;2,25
15,2;-0,139;2,21
15,3;-0,235;2,21
15,4;-0,321;2,23
15,5;-0,392;2,27
15,6;-0,441;2,34
15,7;-0,46;2,42
15,8;-0,454;2,5
15,9;-0,417;2,58
16;-0,348;2,66
16,1;-0,263;2,71
16,2;-0,171;2,73
16,3;-0,075;2,73
16,4;0,01;2,71
16,5;0,075;2,65
16,6;0,116;2,59
16,7;0,13;2,51
16,8;0,109;2,43
16,9;0,058;2,35
17;-0,021;2,29
17,1;-0,11;2,25
17,2;-0,21;2,24
17,3;-0,304;2,24
17,4;-0,388;2,27
17,5;-0,452;2,33
17,6;-0,481;2,4
17,7;-0,481;2,47
17,8;-0,448;2,55
17,9;-0,384;2,62
18;-0,302;2,67
18,1;-0,198;2,7
18,2;-0,095;2,71
18,3;-0,001;2,69
18,4;0,078;2,65
18,5;0,129;2,59
18,6;0,149;2,53
18,7;0,137;2,45
18,8;0,09;2,39
18,9;0,015;2,33
19;-0,076;2,29
19,1;-0,183;2,27
19,2;-0,287;2,27
19,3;-0,383;2,29
19,4;-0,455;2,33
19,5;-0,494;2,39
19,6;-0,502;2,46
19,7;-0,48;2,52
19,8;-0,42;2,58
19,9;-0,336;2,63
20;-0,231;2,66
20,1;-0,124;2,67
20,2;-0,022;2,66
20,3;0,071;2,64
20,4;0,137;2,59
20,5;0,164;2,54
20,6;0,162;2,48
20,7;0,119;2,42
20,8;0,05;2,36
20,9;-0,045;2,33
21;-0,153;2,3
21,1;-0,264;2,29
21,2;-0,369;2,31
21,3;-0,449;2,34
21,4;-0,504;2,38
21,5;-0,521;2,44
21,6;-0,504;2,5
21,7;-0,454;2,55
21,8;-0,371;2,59
21,9;-0,263;2,63
22;-0,156;2,64
22,1;-0,04;2,64
22,2;0,056;2,62
22,3;0,129;2,59
22,4;0,172;2,54
22,5;0,178;2,5
22,6;0,147;2,44
22,7;0,08;2,4
22,8;-0,011;2,36
22,9;-0,12;2,33
23;-0,236;2,33
23,1;-0,346;2,33
23,2;-0,438;2,36
23,3;-0,503;2,39
23,4;-0,532;2,43
23,5;-0,524;2,48
23,6;-0,482;2,52
23,7;-0,407;2,56
23,8;-0,301;2,59
23,9;-0,183;2,61
24;-0,068;2,61
24,1;0,037;2,6
24,2;0,123;2,58
24,3;0,179;2,54
24,4;0,194;2,51
24,5;0,169;2,46
24,6;0,114;2,43
24,7;0,027;2,39
24,8;-0,085;2,37
24,9;-0,205;2,36
25;-0,321;2,36
25,1;-0,421;2,38
25,2;-0,498;2,4
25,3;-0,539;2,43
25,4;-0,542;2,46
25,5;-0,505;2,49
25,6;-0,437;2,53
25,7;-0,336;2,55
25,8;-0,215;2,57
25,9;-0,099;2,57
26;0,016;2,57
26,1;0,108;2,56
26,2;0,174;2,54
26,3;0,201;2,51
26,4;0,19;2,48
26,5;0,14;2,45
26,6;0,057;2,43
26,7;-0,053;2,41
26,8;-0,172;2,4
26,9;-0,295;2,4
27;-0,402;2,4
27,1;-0,486;2,41
27,2;-0,537;2,43
27,3;-0,553;2,45
27,4;-0,526;2,47
27,5;-0,464;2,5
27,6;-0,367;2,52
27,7;-0,254;2,53
27,8;-0,132;2,54
27,9;-0,014;2,54
28;0,089;2,54
28,1;0,167;2,52
28,2;0,205;2,51
28,3;0,203;2,49
28,4;0,16;2,48
28,5;0,084;2,46
28,6;-0,017;2,44
28,7;-0,142;2,44
28,8;-0,265;2,43
28,9;-0,379;2,43
29;-0,468;2,43
29,1;-0,53;2,44
29,2;-0,555;2,45
29,3;-0,539;2,46
29,4;-0,486;2,47
29,5;-0,399;2,48
29,6;-0,285;2,49
29,7;-0,162;2,5
29,8;-0,04;2,51
29,9;0,066;2,51
30;0,149;2,51
30,1;0,2;2,51
30,2;0,208;2,5
30,3;0,175;2,49
30,4;0,106;2,48
30,5;0,013;2,48
30,6;-0,105;2,47
30,7;-0,23;2,46
30,8;-0,351;2,46
30,9;-0,448;2,46
31;-0,516;2,45
31,1;-0,554;2,45
31,2;-0,55;2,45
31,3;-0,504;2,45
31,4;-0,424;2,45
31,5;-0,318;2,45
31,6;-0,196;2,46
31,7;-0,074;2,47
31,8;0,04;2,48
31,9;0,13;2,48
32;0,187;2,49
32,1;0,207;2,5
32,2;0,187;2,51
32,3;0,129;2,51
32,4;0,04;2,51
32,5;-0,072;2,51
32,6;-0,193;2,5
32,7;-0,319;2,5
32,8;-0,419;2,49
32,9;-0,5;2,48
33;-0,547;2,46
33,1;-0,553;2,45
33,2;-0,519;2,44
33,3;-0,447;2,43
33,4;-0,347;2,42
33,5;-0,23;2,42
33,6;-0,111;2,43
33,7;0,006;2,44
33,8;0,105;2,45
33,9;0,174;2,47
34;0,203;2,49
34,1;0,193;2,51
34,2;0,145;2,53
34,3;0,06;2,54
34,4;-0,047;2,55
34,5;-0,161;2,54
34,6;-0,285;2,53
34,7;-0,395;2,52
34,8;-0,482;2,5
34,9;-0,533;2,48
35;-0,551;2,45
35,1;-0,527;2,43
35,2;-0,467;2,41
35,3;-0,377;2,4
35,4;-0,262;2,39
35,5;-0,144;2,39
35,6;-0,026;2,41
35,7;0,076;2,43
35,8;0,15;2,45
35,9;0,189;2,48
36;0,193;2,51
36,1;0,154;2,54
36,2;0,08;2,56
36,3;-0,017;2,57
36,4;-0,13;2,58
36,5;-0,249;2,57
36,6;-0,357;2,55
36,7;-0,45;2,53
36,8;-0,511;2,5
36,9;-0,537;2,46
37;-0,525;2,43
37,1;-0,475;2,4
37,2;-0,391;2,37
37,3;-0,292;2,36
37,4;-0,174;2,36
37,5;-0,06;2,37
37,6;0,045;2,39
37,7;0,126;2,42
37,8;0,173;2,46
37,9;0,183;2,5
38;0,159;2,54
38,1;0,098;2,57
38,2;0,009;2,6
38,3;-0,099;2,61
38,4;-0,218;2,6
38,5;-0,323;2,59
38,6;-0,419;2,56
38,7;-0,485;2,52
38,8;-0,52;2,47
38,9;-0,517;2,43
39;-0,48;2,39
39,1;-0,411;2,35
39,2;-0,314;2,33
39,3;-0,203;2,32
39,4;-0,091;2,33
39,5;0,01;2,35
39,6;0,094;2,39
39,7;0,149;2,44
39,8;0,172;2,49
39,9;0,154;2,54
40;0,104;2,58
40,1;0,025;2,62
40,2;-0,072;2,64
40,3;-0,181;2,64
40,4;-0,293;2,62
40,5;-0,384;2,59
40,6;-0,457;2,55
40,7;-0,502;2,5
40,8;-0,509;2,44
40,9;-0,482;2,39
41;-0,422;2,34
41,1;-0,335;2,31
41,2;-0,233;2,29
41,3;-0,126;2,3
41,4;-0,022;2,32
41,5;0,058;2,36
41,6;0,122;2,41
41,7;0,153;2,47
41,8;0,146;2,53
41,9;0,108;2,58
42;0,041;2,63
42,1;-0,048;2,66
42,2;-0,155;2,67
42,3;-0,259;2,66
42,4;-0,355;2,63
42,5;-0,427;2,58
42,6;-0,472;2,52
42,7;-0,493;2,46
42,8;-0,474;2,39
42,9;-0,425;2,33
43;-0,351;2,29
43,1;-0,258;2,27
43,2;-0,158;2,26
43,3;-0,06;2,28
43,4;0,028;2,33
43,5;0,096;2,38
43,6;0,128;2,44
43,7;0,134;2,52
43,8;0,109;2,58
43,9;0,049;2,64
44;-0,031;2,68
44,1;-0,127;2,7
44,2;-0,225;2,69
44,3;-0,32;2,66
44,4;-0,396;2,62
44,5;-0,446;2,55
44,6;-0,472;2,48
44,7;-0,464;2,4
44,8;-0,425;2,33
44,9;-0,359;2,28
45;-0,277;2,25
45,1;-0,183;2,24
45,2;-0,089;2,25
45,3;-0,007;2,29
45,4;0,057;2,35
45,5;0,098;2,42
45,6;0,11;2,5
45,7;0,093;2,58
45,8;0,046;2,65
45,9;-0,021;2,7
46;-0,103;2,72
46,1;-0,196;2,73
46,2;-0,281;2,7
46,3;-0,356;2,65
46,4;-0,412;2,58
46,5;-0,443;2,5
46,6;-0,443;2,41
46,7;-0,415;2,34
46,8;-0,364;2,27
46,9;-0,291;2,23
47;-0,207;2,21
47,1;-0,122;2,22
47,2;-0,04;2,25
47,3;0,025;2,31
47,4;0,07;2,39
47,5;0,087;2,48
47,6;0,08;2,56
47,7;0,044;2,64
47,8;-0,015;2,7
47,9;-0,091;2,74
48;-0,169;2,75
48,1;-0,249;2,73
48,2;-0,323;2,69
48,3;-0,38;2,62
48,4;-0,413;2,53
48,5;-0,419;2,44
48,6;-0,404;2,36
48,7;-0,36;2,28
48,8;-0,3;2,22
48,9;-0,227;2,19
49;-0,148;2,19
49,1;-0,072;2,22
49,2;-0,01;2,28
49,3;0,037;2,36
49,4;0,058;2,45
49,5;0,058;2,54
49,6;0,029;2,63
49,7;-0,015;2,7
49,8;-0,077;2,75
49,9;-0,15;2,77
50;-0,223;2,76
50,1;-0,292;2,72
50,2;-0,346;2,65
50,3;-0,378;2,57
50,4;-0,395;2,47
50,5;-0,382;2,37
50,6;-0,35;2,28
50,7;-0,304;2,22
50,8;-0,24;2,18
50,9;-0,172;2,17
51;-0,102;2,19
51,1;-0,043;2,25
51,2;0;2,33
51,3;0,026;2,42
51,4;0,033;2,52
51,5;0,016;2,62
51,6;-0,023;2,7
51,7;-0,071;2,76
51,8;-0,132;2,79
51,9;-0,198;2,79
52;-0,256;2,75
52,1;-0,31;2,69
52,2;-0,344;2,59
52,3;-0,364;2,5
52,4;-0,359;2,39
52,5;-0,339;2,29
52,6;-0,299;2,22
52,7;-0,248;2,17
52,8;-0,191;2,15
52,9;-0,131;2,16
53;-0,078;2,21
53,1;-0,036;2,29
53,2;-0,006;2,39
53,3;0,001;2,5
53,4;-0,006;2,6
53,5;-0,032;2,69
53,6;-0,071;2,76
53,7;-0,122;2,8
53,8;-0,177;2,81
53,9;-0,228;2,78
54;-0,272;2,72
54,1;-0,309;2,63
54,2;-0,329;2,53
54,3;-0,334;2,42
54,4;-0,319;2,32
54,5;-0,294;2,23
54,6;-0,253;2,17
54,7;-0,207;2,14
54,8;-0,159;2,14
54,9;-0,108;2,19
55;-0,073;2,26
55,1;-0,045;2,36
55,2;-0,032;2,46
55,3;-0,031;2,57
55,4;-0,05;2,67
55,5;-0,077;2,76
55,6;-0,114;2,81
55,7;-0,159;2,82
55,8;-0,2;2,8
55,9;-0,244;2,75
56;-0,275;2,66
56,1;-0,295;2,56
56,2;-0,301;2,45
56,3;-0,296;2,34
56,4;-0,278;2,25
56,5;-0,253;2,17
56,6;-0,213;2,13
56,7;-0,175;2,13
56,8;-0,136;2,16
56,9;-0,103;2,23
57;-0,081;2,32
57,1;-0,067;2,43
57,2;-0,062;2,54
57,3;-0,071;2,65
57,4;-0,089;2,74
57,5;-0,119;2,8
57,6;-0,148;2,83
57,7;-0,182;2,82
57,8;-0,216;2,78
57,9;-0,241;2,7
58;-0,259;2,59
58,1;-0,271;2,48
58,2;-0,269;2,36
58,3;-0,257;2,26
58,4;-0,238;2,18
58,5;-0,216;2,13
58,6;-0,186;2,11
58,7;-0,16;2,14
58,8;-0,132;2,21
58,9;-0,112;2,29
59;-0,101;2,4
59,1;-0,097;2,51
59,2;-0,1;2,63
59,3;-0,11;2,73
59,4;-0,126;2,8
59,5;-0,144;2,84
59,6;-0,17;2,84
59,7;-0,189;2,8
59,8;-0,211;2,72
59,9;-0,225;2,63
60;-0,235;2,51
60,1;-0,235;2,4
60,2;-0,233;2,28
60,3;-0,222;2,19
60,4;-0,208;2,13
60,5;-0,194;2,11
60,6;-0,175;2,12
60,7;-0,162;2,18
60,8;-0,144;2,26
60,9;-0,138;2,36
61;-0,129;2,48
61,1;-0,127;2,6
61,2;-0,131;2,71
61,3;-0,137;2,78
61,4;-0,149;2,83
61,5;-0,157;2,84
61,6;-0,17;2,81
61,7;-0,18;2,75
61,8;-0,187;2,66
61,9;-0,196;2,55
62;-0,204;2,43
62,1;-0,204;2,31
62,2;-0,204;2,21
62,3;-0,204;2,14
62,4;-0,195;2,11
62,5;-0,191;2,12
62,6;-0,182;2,16
62,7;-0,179;2,23
62,8;-0,17;2,33
62,9;-0,167;2,45
63;-0,16;2,57
63,1;-0,156;2,68
63,2;-0,155;2,76
63,3;-0,155;2,82
63,4;-0,156;2,84
63,5;-0,157;2,83
63,6;-0,16;2,77
63,7;-0,16;2,69
63,8;-0,163;2,58
63,9;-0,167;2,46
64;-0,172;2,34
64,1;-0,18;2,24
64,2;-0,186;2,16
64,3;-0,19;2,12
64,4;-0,198;2,11
64,5;-0,197;2,14
64,6;-0,203;2,21
64,7;-0,199;2,3
64,8;-0,198;2,42
64,9;-0,192;2,54
65;-0,185;2,65
65,1;-0,18;2,74
65,2;-0,169;2,81
65,3;-0,152;2,84
65,4;-0,143;2,83
65,5;-0,137;2,79
65,6;-0,131;2,71
65,7;-0,134;2,61
65,8;-0,134;2,49
65,9;-0,138;2,37
66;-0,152;2,27
66,1;-0,169;2,18
66,2;-0,182;2,13
66,3;-0,198;2,11
66,4;-0,214;2,13
66,5;-0,223;2,19
66,6;-0,232;2,28
66,7;-0,233;2,39
66,8;-0,229;2,51
66,9;-0,216;2,61
67;-0,204;2,72
67,1;-0,184;2,79
67,2;-0,161;2,83
67,3;-0,14;2,84
67,4;-0,125;2,8
67,5;-0,106;2,73
67,6;-0,097;2,64
67,7;-0,095;2,52
67,8;-0,103;2,4
67,9;-0,116;2,3
68;-0,138;2,2
68,1;-0,166;2,15
68,2;-0,198;2,12
68,3;-0,221;2,13
68,4;-0,242;2,18
68,5;-0,258;2,25
68,6;-0,267;2,35
68,7;-0,263;2,47
68,8;-0,253;2,58
68,9;-0,233;2,68
69;-0,205;2,76
69,1;-0,176;2,81
69,2;-0,143;2,83
69,3;-0,111;2,81
69,4;-0,089;2,74
69,5;-0,071;2,66
69,6;-0,064;2,55
69,7;-0,071;2,44
69,8;-0,088;2,33
69,9;-0,111;2,24
70;-0,146;2,17
