$t$ / s;$U_A1$ / V;$U_B1$ / V
0;0,093;2,14
0,1;0,058;2,17
0,2;-0,004;2,24
0,3;-0,076;2,31
0,4;-0,152;2,41
0,5;-0,226;2,5
0,6;-0,285;2,58
0,7;-0,326;2,63
0,8;-0,34;2,67
0,9;-0,323;2,67
1;-0,284;2,63
1,1;-0,221;2,57
1,2;-0,144;2,49
1,3;-0,067;2,4
1,4;0,009;2,31
1,5;0,065;2,23
1,6;0,102;2,18
1,7;0,111;2,15
1,8;0,093;2,15
1,9;0,046;2,18
2;-0,022;2,25
2,1;-0,099;2,33
2,2;-0,183;2,41
2,3;-0,257;2,5
2,4;-0,316;2,58
2,5;-0,344;2,63
2,6;-0,35;2,66
2,7;-0,326;2,65
2,8;-0,274;2,62
2,9;-0,206;2,56
3;-0,124;2,48
3,1;-0,036;2,39
3,2;0,033;2,3
3,3;0,091;2,23
3,4;0,122;2,18
3,5;0,121;2,16
3,6;0,09;2,17
3,7;0,038;2,2
3,8;-0,037;2,26
3,9;-0,124;2,34
4;-0,209;2,43
4,1;-0,283;2,52
4,2;-0,337;2,58
4,3;-0,365;2,62
4,4;-0,362;2,64
4,5;-0,328;2,63
4,6;-0,273;2,59
4,7;-0,19;2,53
4,8;-0,103;2,45
4,9;-0,014;2,37
5;0,06;2,29
5,1;0,112;2,23
5,2;0,136;2,19
5,3;0,134;2,17
5,4;0,097;2,19
5,5;0,036;2,23
5,6;-0,046;2,29
5,7;-0,138;2,37
5,8;-0,227;2,45
5,9;-0,303;2,52
6;-0,353;2,59
6,1;-0,378;2,62
6,2;-0,37;2,63
6,3;-0,331;2,61
6,4;-0,265;2,56
6,5;-0,175;2,5
6,6;-0,09;2,42
6,7;-0,003;2,35
6,8;0,073;2,27
6,9;0,127;2,22
7;0,146;2,19
7,1;0,137;2,18
7,2;0,1;2,21
7,3;0,032;2,26
7,4;-0,055;2,33
7,5;-0,147;2,4
7,6;-0,239;2,48
7,7;-0,315;2,55
7,8;-0,367;2,59
7,9;-0,389;2,62
8;-0,377;2,62
8,1;-0,331;2,59
8,2;-0,262;2,54
8,3;-0,178;2,47
8,4;-0,081;2,39
8,5;0,006;2,32
8,6;0,083;2,25
8,7;0,133;2,21
8,8;0,149;2,19
8,9;0,134;2,2
9;0,089;2,23
9,1;0,022;2,28
9,2;-0,063;2,36
9,3;-0,157;2,44
9,4;-0,248;2,51
9,5;-0,322;2,56
9,6;-0,368;2,61
9,7;-0,385;2,62
9,8;-0,374;2,61
9,9;-0,326;2,57
10;-0,253;2,51
10,1;-0,166;2,44
10,2;-0,075;2,36
10,3;0,012;2,29
10,4;0,083;2,23
10,5;0,132;2,19
10,6;0,149;2,18
10,7;0,132;2,2
10,8;0,082;2,24
10,9;0,013;2,31
11;-0,07;2,39
11,1;-0,164;2,47
11,2;-0,251;2,54
11,3;-0,319;2,59
11,4;-0,365;2,62
11,5;-0,375;2,63
11,6;-0,359;2,61
11,7;-0,314;2,56
11,8;-0,242;2,49
11,9;-0,158;2,41
12;-0,068;2,33
12,1;0,016;2,26
12,2;0,082;2,21
12,3;0,124;2,18
12,4;0,135;2,18
12,5;0,117;2,2
12,6;0,068;2,26
12,7;-0,001;2,33
12,8;-0,084;2,41
12,9;-0,171;2,49
13;-0,251;2,56
13,1;-0,311;2,61
13,2;-0,353;2,64
13,3;-0,361;2,64
13,4;-0,34;2,61
13,5;-0,293;2,55
13,6;-0,225;2,48
13,7;-0,142;2,39
13,8;-0,057;2,31
13,9;0,016;2,23
14;0,075;2,19
14,1;0,113;2,16
14,2;0,125;2,17
14,3;0,097;2,2
14,4;0,049;2,26
14,5;-0,021;2,34
14,6;-0,104;2,43
14,7;-0,19;2,51
14,8;-0,258;2,58
14,9;-0,315;2,64
15;-0,346;2,66
15,1;-0,346;2,65
15,2;-0,317;2,61
15,3;-0,267;2,55
15,4;-0,198;2,46
15,5;-0,117;2,38
15,6;-0,036;2,28
15,7;0,028;2,21
15,8;0,079;2,17
15,9;0,107;2,15
16;0,105;2,16
16,1;0,074;2,2
16,2;0,018;2,26
16,3;-0,05;2,35
16,4;-0,132;2,44
16,5;-0,206;2,52
16,6;-0,272;2,6
16,7;-0,314;2,65
16,8;-0,337;2,67
16,9;-0,33;2,66
17;-0,295;2,61
