$t$ / s;$U_A1$ / V;$U_B1$ / V
0;-0,288;2,17
0,1;-0,352;2,1
0,2;-0,388;2,05
0,3;-0,394;2,04
0,4;-0,369;2,07
0,5;-0,317;2,12
0,6;-0,241;2,2
0,7;-0,148;2,3
0,8;-0,045;2,41
0,9;0,049;2,51
1;0,133;2,6
1,1;0,197;2,67
1,2;0,23;2,71
1,3;0,232;2,71
1,4;0,202;2,68
1,5;0,141;2,61
1,6;0,058;2,53
1,7;-0,035;2,42
1,8;-0,14;2,31
1,9;-0,238;2,22
2;-0,318;2,13
2,1;-0,377;2,08
2,2;-0,403;2,05
2,3;-0,401;2,06
2,4;-0,367;2,09
2,5;-0,296;2,16
2,6;-0,212;2,25
2,7;-0,107;2,35
2,8;-0,002;2,45
2,9;0,093;2,55
3;0,174;2,63
3,1;0,225;2,67
3,2;0,246;2,7
3,3;0,233;2,68
3,4;0,19;2,64
3,5;0,116;2,57
3,6;0,022;2,47
3,7;-0,086;2,38
3,8;-0,195;2,27
3,9;-0,289;2,19
4;-0,361;2,11
4,1;-0,407;2,08
4,2;-0,417;2,06
4,3;-0,396;2,08
4,4;-0,336;2,12
4,5;-0,257;2,2
4,6;-0,156;2,29
4,7;-0,048;2,39
4,8;0,057;2,49
4,9;0,148;2,58
5;0,213;2,64
5,1;0,247;2,68
5,2;0,247;2,69
5,3;0,212;2,66
5,4;0,15;2,61
5,5;0,06;2,53
5,6;-0,042;2,44
5,7;-0,15;2,34
5,8;-0,249;2,24
5,9;-0,329;2,16
6;-0,387;2,1
6,1;-0,413;2,06
6,2;-0,405;2,06
6,3;-0,361;2,09
6,4;-0,29;2,15
6,5;-0,197;2,23
6,6;-0,095;2,33
6,7;0,011;2,43
6,8;0,105;2,53
6,9;0,177;2,61
7;0,227;2,67
7,1;0,242;2,7
7,2;0,222;2,69
7,3;0,175;2,66
7,4;0,101;2,59
7,5;0,007;2,5
7,6;-0,093;2,4
7,7;-0,193;2,3
7,8;-0,282;2,2
7,9;-0,35;2,12
8;-0,387;2,07
8,1;-0,399;2,04
8,2;-0,375;2,06
8,3;-0,325;2,1
8,4;-0,251;2,17
8,5;-0,153;2,27
8,6;-0,052;2,38
8,7;0,044;2,48
8,8;0,128;2,58
8,9;0,192;2,65
9;0,224;2,7
9,1;0,231;2,71
9,2;0,2;2,69
9,3;0,144;2,63
9,4;0,062;2,55
9,5;-0,031;2,45
9,6;-0,131;2,34
9,7;-0,224;2,24
9,8;-0,307;2,15
9,9;-0,366;2,08
10;-0,394;2,05
10,1;-0,389;2,05
10,2;-0,361;2,08
10,3;-0,302;2,14
10,4;-0,217;2,22
10,5;-0,119;2,32
10,6;-0,019;2,43
10,7;0,072;2,54
10,8;0,152;2,62
10,9;0,208;2,68
11;0,233;2,71
11,1;0,229;2,7
11,2;0,183;2,66
11,3;0,118;2,59
11,4;0,033;2,5
11,5;-0,069;2,39
11,6;-0,17;2,29
11,7;-0,261;2,19
11,8;-0,335;2,12
11,9;-0,387;2,07
12;-0,401;2,05
12,1;-0,391;2,07
12,2;-0,343;2,11
12,3;-0,269;2,19
12,4;-0,178;2,28
12,5;-0,078;2,38
12,6;0,024;2,49
12,7;0,114;2,58
12,8;0,188;2,64
12,9;0,227;2,69
13;0,24;2,7
13,1;0,216;2,67
13,2;0,165;2,62
13,3;0,084;2,54
13,4;-0,012;2,45
13,5;-0,116;2,35
13,6;-0,219;2,25
13,7;-0,31;2,17
13,8;-0,373;2,1
13,9;-0,405;2,07
14;-0,409;2,06
14,1;-0,376;2,09
14,2;-0,311;2,15
14,3;-0,228;2,23
14,4;-0,124;2,32
14,5;-0,022;2,42
14,6;0,076;2,51
14,7;0,161;2,6
14,8;0,218;2,66
14,9;0,246;2,68
15;0,238;2,69
15,1;0,194;2,66
15,2;0,125;2,59
15,3;0,033;2,51
15,4;-0,068;2,41
15,5;-0,174;2,31
15,6;-0,271;2,22
15,7;-0,347;2,14
15,8;-0,394;2,09
15,9;-0,41;2,06
16;-0,391;2,07
16,1;-0,344;2,11
16,2;-0,268;2,17
16,3;-0,173;2,26
16,4;-0,069;2,36
16,5;0,035;2,46
16,6;0,124;2,55
16,7;0,191;2,63
16,8;0,23;2,68
16,9;0,238;2,7
17;0,21;2,69
17,1;0,154;2,64
17,2;0,073;2,56
17,3;-0,023;2,47
17,4;-0,119;2,37
17,5;-0,218;2,27
17,6;-0,303;2,18
17,7;-0,364;2,11
17,8;-0,396;2,07
17,9;-0,395;2,05
18;-0,362;2,07
18,1;-0,305;2,12
18,2;-0,22;2,21
18,3;-0,124;2,3
18,4;-0,028;2,41
18,5;0,068;2,51
18,6;0,144;2,6
18,7;0,201;2,67
18,8;0,226;2,7
18,9;0,22;2,7
19;0,186;2,67
19,1;0,121;2,61
19,2;0,032;2,52
19,3;-0,057;2,42
19,4;-0,159;2,31
19,5;-0,251;2,21
19,6;-0,326;2,13
19,7;-0,376;2,08
19,8;-0,393;2,05
19,9;-0,384;2,06
20;-0,343;2,09
20,1;-0,273;2,16
20,2;-0,188;2,25
20,3;-0,093;2,36
20,4;0,007;2,46
20,5;0,098;2,56
20,6;0,168;2,64
20,7;0,212;2,69
20,8;0,227;2,71
20,9;0,212;2,69
21;0,166;2,64
21,1;0,095;2,56
21,2;0,007;2,47
21,3;-0,096;2,37
21,4;-0,196;2,26
21,5;-0,285;2,17
21,6;-0,35;2,1
21,7;-0,392;2,06
21,8;-0,399;2,05
21,9;-0,376;2,08
22;-0,326;2,13
22,1;-0,244;2,21
22,2;-0,151;2,31
22,3;-0,048;2,41
22,4;0,052;2,51
22,5;0,136;2,59
22,6;0,2;2,65
22,7;0,235;2,69
22,8;0,236;2,69
22,9;0,207;2,66
23;0,142;2,6
23,1;0,059;2,52
23,2;-0,042;2,42
23,3;-0,146;2,31
23,4;-0,248;2,22
