$t$ / s;$U_A1$ / V;$U_B1$ / V
0;-0,284;2,58
0,1;-0,3;2,59
0,2;-0,285;2,58
0,3;-0,245;2,54
0,4;-0,185;2,48
0,5;-0,107;2,4
0,6;-0,031;2,33
0,7;0,049;2,26
0,8;0,105;2,21
0,9;0,14;2,18
1;0,141;2,19
1,1;0,119;2,21
1,2;0,07;2,26
1,3;0,001;2,33
1,4;-0,074;2,4
1,5;-0,152;2,48
1,6;-0,216;2,54
1,7;-0,268;2,58
1,8;-0,289;2,6
1,9;-0,284;2,59
2;-0,251;2,56
2,1;-0,193;2,5
2,2;-0,126;2,42
2,3;-0,05;2,34
2,4;0,025;2,27
2,5;0,082;2,21
2,6;0,121;2,18
2,7;0,135;2,17
2,8;0,12;2,19
2,9;0,075;2,24
3;0,011;2,31
3,1;-0,061;2,38
3,2;-0,136;2,46
3,3;-0,201;2,53
3,4;-0,251;2,58
3,5;-0,278;2,6
3,6;-0,28;2,6
3,7;-0,251;2,57
3,8;-0,201;2,52
3,9;-0,135;2,45
4;-0,063;2,36
4,1;0,009;2,29
4,2;0,069;2,22
4,3;0,108;2,18
4,4;0,125;2,16
4,5;0,114;2,17
4,6;0,079;2,21
4,7;0,019;2,27
4,8;-0,05;2,35
4,9;-0,125;2,43
5;-0,193;2,51
5,1;-0,243;2,57
5,2;-0,273;2,61
5,3;-0,279;2,61
5,4;-0,25;2,59
5,5;-0,202;2,54
5,6;-0,139;2,47
5,7;-0,067;2,39
5,8;0,005;2,31
5,9;0,064;2,24
6;0,103;2,19
6,1;0,121;2,16
6,2;0,115;2,16
6,3;0,08;2,19
6,4;0,026;2,25
6,5;-0,045;2,33
6,6;-0,12;2,4
6,7;-0,186;2,48
6,8;-0,242;2,55
6,9;-0,27;2,59
7;-0,279;2,61
7,1;-0,257;2,6
7,2;-0,211;2,56
7,3;-0,149;2,49
7,4;-0,076;2,42
7,5;-0,003;2,34
7,6;0,06;2,26
7,7;0,105;2,21
7,8;0,129;2,17
7,9;0,124;2,17
8;0,091;2,19
8,1;0,037;2,24
8,2;-0,035;2,3
8,3;-0,11;2,38
8,4;-0,182;2,46
8,5;-0,239;2,53
8,6;-0,277;2,58
8,7;-0,287;2,6
8,8;-0,269;2,6
8,9;-0,225;2,57
9;-0,165;2,51
9,1;-0,089;2,44
9,2;-0,013;2,36
9,3;0,057;2,29
9,4;0,108;2,23
9,5;0,133;2,19
9,6;0,137;2,18
9,7;0,108;2,19
9,8;0,056;2,23
9,9;-0,012;2,29
10;-0,094;2,36
10,1;-0,173;2,44
10,2;-0,233;2,51
10,3;-0,279;2,56
10,4;-0,296;2,59
10,5;-0,287;2,59
10,6;-0,246;2,57
10,7;-0,188;2,52
10,8;-0,113;2,45
10,9;-0,033;2,38
11;0,047;2,31
11,1;0,105;2,24
11,2;0,14;2,2
11,3;0,145;2,19
11,4;0,126;2,2
11,5;0,081;2,23
11,6;0,013;2,29
11,7;-0,068;2,36
11,8;-0,148;2,43
11,9;-0,218;2,5
12;-0,274;2,55
12,1;-0,299;2,58
12,2;-0,296;2,58
12,3;-0,269;2,56
12,4;-0,215;2,52
12,5;-0,143;2,45
12,6;-0,059;2,38
12,7;0,02;2,31
12,8;0,085;2,25
12,9;0,13;2,21
13;0,147;2,19
13,1;0,137;2,19
13,2;0,097;2,23
13,3;0,037;2,28
13,4;-0,038;2,35
13,5;-0,118;2,42
13,6;-0,196;2,49
13,7;-0,255;2,55
13,8;-0,29;2,58
13,9;-0,302;2,58
14;-0,28;2,57
14,1;-0,236;2,52
14,2;-0,166;2,46
14,3;-0,088;2,39
14,4;-0,007;2,32
14,5;0,064;2,26
