$t$ / s;$U_A1$ / V;$U_B1$ / V
0;-0,078;2,35
0,1;-0,187;2,45
0,2;-0,293;2,56
0,3;-0,385;2,66
0,4;-0,456;2,73
0,5;-0,5;2,78
0,6;-0,506;2,8
0,7;-0,477;2,78
0,8;-0,414;2,73
0,9;-0,322;2,64
1;-0,219;2,55
1,1;-0,107;2,45
1,2;-0,003;2,36
1,3;0,08;2,27
1,4;0,139;2,2
1,5;0,165;2,16
1,6;0,149;2,16
1,7;0,104;2,2
1,8;0,027;2,26
1,9;-0,073;2,35
2;-0,182;2,45
2,1;-0,294;2,56
2,2;-0,388;2,66
2,3;-0,46;2,73
2,4;-0,502;2,78
2,5;-0,51;2,79
2,6;-0,476;2,78
2,7;-0,412;2,73
2,8;-0,324;2,65
2,9;-0,216;2,55
3;-0,108;2,44
3,1;-0,003;2,34
3,2;0,086;2,25
3,3;0,138;2,19
3,4;0,164;2,16
3,5;0,151;2,16
3,6;0,102;2,2
3,7;0,025;2,27
3,8;-0,076;2,36
3,9;-0,183;2,46
4;-0,291;2,56
4,1;-0,386;2,66
4,2;-0,461;2,74
4,3;-0,502;2,79
4,4;-0,506;2,8
4,5;-0,475;2,78
4,6;-0,41;2,72
4,7;-0,321;2,64
4,8;-0,212;2,54
4,9;-0,102;2,43
5;0,002;2,34
5,1;0,087;2,25
5,2;0,143;2,19
5,3;0,166;2,16
5,4;0,149;2,17
5,5;0,103;2,21
5,6;0,023;2,27
5,7;-0,079;2,36
5,8;-0,19;2,47
5,9;-0,294;2,58
6;-0,388;2,67
6,1;-0,462;2,74
6,2;-0,498;2,78
6,3;-0,506;2,79
6,4;-0,474;2,77
6,5;-0,41;2,72
6,6;-0,322;2,64
6,7;-0,212;2,54
6,8;-0,104;2,43
6,9;-0,003;2,33
7;0,084;2,25
7,1;0,143;2,19
7,2;0,165;2,16
7,3;0,149;2,17
7,4;0,1;2,22
7,5;0,021;2,29
7,6;-0,081;2,38
7,7;-0,191;2,48
7,8;-0,297;2,57
7,9;-0,391;2,66
8;-0,459;2,73
8,1;-0,5;2,78
8,2;-0,504;2,79
8,3;-0,47;2,76
8,4;-0,411;2,71
8,5;-0,318;2,63
8,6;-0,215;2,53
8,7;-0,104;2,43
8,8;-0,001;2,33
8,9;0,084;2,25
9;0,139;2,2
9,1;0,164;2,17
9,2;0,148;2,18
9,3;0,098;2,22
9,4;0,023;2,28
9,5;-0,076;2,37
9,6;-0,188;2,47
9,7;-0,296;2,58
9,8;-0,388;2,67
9,9;-0,461;2,74
10;-0,5;2,78
10,1;-0,506;2,79
10,2;-0,471;2,77
10,3;-0,406;2,71
10,4;-0,319;2,63
10,5;-0,211;2,54
10,6;-0,102;2,44
10,7;-0,001;2,33
10,8;0,083;2,25
10,9;0,139;2,19
11;0,164;2,16
11,1;0,146;2,18
11,2;0,095;2,21
11,3;0,02;2,28
11,4;-0,079;2,38
11,5;-0,192;2,48
11,6;-0,299;2,58
11,7;-0,39;2,67
11,8;-0,46;2,74
11,9;-0,499;2,78
12;-0,505;2,79
12,1;-0,472;2,76
12,2;-0,406;2,71
12,3;-0,316;2,62
12,4;-0,208;2,53
12,5;-0,099;2,42
12,6;0,002;2,32
12,7;0,086;2,24
12,8;0,139;2,19
12,9;0,161;2,17
13;0,147;2,17
13,1;0,094;2,22
13,2;0,014;2,29
13,3;-0,085;2,38
13,4;-0,194;2,48
13,5;-0,3;2,59
13,6;-0,392;2,68
13,7;-0,461;2,75
13,8;-0,5;2,79
13,9;-0,504;2,79
14;-0,468;2,76
14,1;-0,406;2,7
14,2;-0,315;2,61
14,3;-0,207;2,52
14,4;-0,102;2,41
14,5;0,002;2,32
14,6;0,087;2,24
14,7;0,138;2,18
14,8;0,158;2,16
14,9;0,139;2,17
15;0,091;2,22
15,1;0,013;2,29
15,2;-0,087;2,39
15,3;-0,195;2,49
15,4;-0,297;2,59
15,5;-0,391;2,68
15,6;-0,456;2,74
15,7;-0,497;2,79
15,8;-0,497;2,79
15,9;-0,464;2,76
16;-0,401;2,7
16,1;-0,31;2,61
16,2;-0,21;2,51
16,3;-0,102;2,41
16,4;0;2,31
16,5;0,082;2,24
16,6;0,133;2,19
16,7;0,153;2,17
16,8;0,138;2,18
16,9;0,092;2,23
17;0,013;2,3
17,1;-0,086;2,39
17,2;-0,193;2,49
17,3;-0,299;2,59
17,4;-0,389;2,68
17,5;-0,46;2,75
17,6;-0,495;2,78
17,7;-0,496;2,79
17,8;-0,463;2,76
17,9;-0,397;2,7
18;-0,311;2,61
18,1;-0,204;2,51
18,2;-0,101;2,41
18,3;-0,003;2,32
18,4;0,077;2,24
18,5;0,131;2,19
18,6;0,153;2,17
18,7;0,139;2,18
18,8;0,088;2,23
18,9;0,012;2,29
19;-0,09;2,39
19,1;-0,197;2,5
19,2;-0,299;2,59
19,3;-0,387;2,69
19,4;-0,458;2,75
19,5;-0,49;2,79
19,6;-0,493;2,79
19,7;-0,46;2,75
19,8;-0,398;2,7
19,9;-0,307;2,61
20;-0,202;2,51
20,1;-0,097;2,41
20,2;-0,001;2,31
20,3;0,076;2,23
20,4;0,132;2,18
20,5;0,15;2,16
20,6;0,135;2,18
20,7;0,082;2,22
20,8;0,007;2,3
20,9;-0,087;2,4
21;-0,197;2,5
21,1;-0,304;2,6
21,2;-0,389;2,69
21,3;-0,457;2,75
21,4;-0,491;2,79
21,5;-0,495;2,79
21,6;-0,461;2,76
21,7;-0,395;2,69
21,8;-0,302;2,61
21,9;-0,195;2,5
22;-0,094;2,4
22,1;0,004;2,31
22,2;0,078;2,23
22,3;0,13;2,18
22,4;0,146;2,17
22,5;0,128;2,18
22,6;0,078;2,23
22,7;-0,003;2,31
22,8;-0,097;2,4
22,9;-0,205;2,51
23;-0,304;2,61
23,1;-0,391;2,7
23,2;-0,455;2,76
23,3;-0,488;2,79
