$t$ / s;$U_A1$ / V;$U_B1$ / V
0;0,125;2,76
0,1;0,037;2,65
0,2;-0,063;2,53
0,3;-0,175;2,4
0,4;-0,285;2,28
0,5;-0,386;2,18
0,6;-0,46;2,1
0,7;-0,504;2,06
0,8;-0,511;2,06
0,9;-0,486;2,1
1;-0,426;2,18
1,1;-0,334;2,28
1,2;-0,226;2,41
1,3;-0,112;2,53
1,4;0;2,65
1,5;0,095;2,75
1,6;0,166;2,83
1,7;0,201;2,86
1,8;0,199;2,85
1,9;0,164;2,79
2;0,096;2,71
2,1;0;2,59
2,2;-0,108;2,47
2,3;-0,229;2,34
2,4;-0,335;2,23
2,5;-0,427;2,14
2,6;-0,489;2,08
2,7;-0,52;2,06
2,8;-0,515;2,08
2,9;-0,469;2,14
3;-0,394;2,23
3,1;-0,293;2,34
3,2;-0,178;2,47
3,3;-0,061;2,59
3,4;0,045;2,7
3,5;0,131;2,78
3,6;0,19;2,84
3,7;0,212;2,85
3,8;0,194;2,82
3,9;0,144;2,75
4;0,061;2,65
4,1;-0,043;2,54
4,2;-0,162;2,41
4,3;-0,279;2,29
4,4;-0,385;2,19
4,5;-0,469;2,11
4,6;-0,517;2,07
4,7;-0,532;2,07
4,8;-0,506;2,1
4,9;-0,446;2,18
5;-0,357;2,28
5,1;-0,246;2,4
5,2;-0,127;2,52
5,3;-0,011;2,64
5,4;0,095;2,74
5,5;0,17;2,81
5,6;0,212;2,84
5,7;0,216;2,83
5,8;0,186;2,79
5,9;0,115;2,71
6;0,021;2,6
6,1;-0,096;2,48
6,2;-0,216;2,35
6,3;-0,328;2,25
6,4;-0,427;2,15
6,5;-0,497;2,09
6,6;-0,533;2,07
6,7;-0,528;2,09
6,8;-0,486;2,15
6,9;-0,409;2,23
7;-0,309;2,34
7,1;-0,191;2,46
7,2;-0,071;2,58
7,3;0,046;2,68
7,4;0,137;2,77
7,5;0,198;2,82
7,6;0,226;2,83
7,7;0,211;2,8
7,8;0,163;2,74
7,9;0,077;2,65
8;-0,03;2,54
8,1;-0,151;2,42
8,2;-0,274;2,3
8,3;-0,383;2,2
8,4;-0,467;2,13
8,5;-0,522;2,09
8,6;-0,541;2,08
8,7;-0,519;2,11
8,8;-0,463;2,19
8,9;-0,372;2,28
9;-0,259;2,39
9,1;-0,134;2,51
9,2;-0,015;2,63
9,3;0,09;2,72
9,4;0,176;2,79
9,5;0,221;2,82
9,6;0,231;2,82
9,7;0,199;2,77
9,8;0,131;2,7
9,9;0,034;2,6
10;-0,082;2,49
10,1;-0,213;2,37
10,2;-0,331;2,26
10,3;-0,433;2,18
10,4;-0,505;2,11
10,5;-0,543;2,09
10,6;-0,541;2,1
10,7;-0,5;2,15
10,8;-0,425;2,23
10,9;-0,32;2,33
11;-0,196;2,44
11,1;-0,073;2,55
11,2;0,044;2,66
11,3;0,139;2,75
11,4;0,205;2,8
11,5;0,235;2,81
11,6;0,222;2,8
11,7;0,173;2,74
11,8;0,089;2,66
11,9;-0,023;2,56
12;-0,146;2,44
12,1;-0,272;2,33
12,2;-0,384;2,23
12,3;-0,477;2,16
12,4;-0,533;2,11
12,5;-0,55;2,1
12,6;-0,529;2,12
12,7;-0,467;2,18
12,8;-0,374;2,27
12,9;-0,263;2,37
13;-0,131;2,49
13,1;-0,007;2,6
13,2;0,1;2,69
13,3;0,182;2,77
13,4;0,229;2,8
13,5;0,239;2,81
13,6;0,205;2,77
13,7;0,137;2,71
13,8;0,035;2,62
13,9;-0,084;2,51
14;-0,213;2,39
14,1;-0,332;2,29
14,2;-0,435;2,2
14,3;-0,512;2,14
14,4;-0,553;2,11
14,5;-0,549;2,11
14,6;-0,507;2,15
14,7;-0,428;2,22
14,8;-0,324;2,31
14,9;-0,201;2,42
15;-0,072;2,53
15,1;0,047;2,64
15,2;0,145;2,72
15,3;0,212;2,78
15,4;0,24;2,81
15,5;0,229;2,8
15,6;0,176;2,75
15,7;0,092;2,67
15,8;-0,022;2,58
15,9;-0,147;2,47
16;-0,275;2,36
16,1;-0,39;2,25
16,2;-0,479;2,17
16,3;-0,54;2,12
16,4;-0,556;2,1
16,5;-0,532;2,12
16,6;-0,472;2,18
16,7;-0,38;2,25
16,8;-0,263;2,36
16,9;-0,133;2,46
17;-0,011;2,57
17,1;0,098;2,67
17,2;0,183;2,75
17,3;0,232;2,79
17,4;0,236;2,8
17,5;0,208;2,78
17,6;0,135;2,72
17,7;0,035;2,64
17,8;-0,089;2,53
17,9;-0,217;2,42
18;-0,339;2,31
18,1;-0,441;2,22
18,2;-0,518;2,15
18,3;-0,557;2,11
18,4;-0,551;2,11
18,5;-0,509;2,14
18,6;-0,429;2,21
18,7;-0,324;2,29
18,8;-0,198;2,4
18,9;-0,07;2,51
19;0,047;2,61
19,1;0,149;2,7
19,2;0,215;2,77
19,3;0,243;2,8
19,4;0,229;2,8
19,5;0,173;2,76
19,6;0,085;2,69
19,7;-0,024;2,59
19,8;-0,153;2,49
19,9;-0,276;2,38
20;-0,393;2,27
20,1;-0,48;2,19
20,2;-0,536;2,13
20,3;-0,555;2,11
20,4;-0,532;2,12
20,5;-0,468;2,16
20,6;-0,372;2,23
