Loch;Messung1;Messnung2;Messung3;Mittelwert
1;1,819;1,817;;1,818
2;1,811;1,811;;1,811
3;1,804;1,805;;1,8045
4;1,798;1,798;;1,798
5;1,792;1,793;;1,7925
6;1,787;1,787;;1,787
7;1,781;1,782;;1,7815
8;1,777;1,778;;1,7775
9;1,774;1,773;;1,7735
10;1,772;1,771;;1,7715
11;1,77;1,769;;1,7695
12;1,766;1,766;;1,766
13;1,766;1,766;;1,766
14;1,766;1,767;;1,7665
15;1,766;1,767;;1,7665
16;1,768;1,769;;1,7685
17;1,772;1,772;;1,772
18;1,774;;;1,774
19;1,779;;;1,779
20;1,782;;;1,782
21;1,79;;;1,79
22;1,795;;;1,795
23;1,807;;;1,807
24;1,812;;;1,812
25;1,825;1,825;;1,825
