$t$ / s;$U_A1$ / V;$U_B1$ / V
0;-0,066;2,6
0,1;-0,168;2,5
0,2;-0,267;2,41
0,3;-0,359;2,31
0,4;-0,429;2,24
0,5;-0,471;2,18
0,6;-0,485;2,16
0,7;-0,467;2,17
0,8;-0,419;2,22
0,9;-0,346;2,29
1;-0,253;2,38
1,1;-0,154;2,48
1,2;-0,052;2,58
1,3;0,032;2,66
1,4;0,099;2,74
1,5;0,139;2,78
1,6;0,144;2,8
1,7;0,116;2,78
1,8;0,061;2,73
1,9;-0,018;2,65
2;-0,111;2,56
2,1;-0,212;2,46
2,2;-0,31;2,36
2,3;-0,392;2,27
2,4;-0,449;2,21
2,5;-0,482;2,17
2,6;-0,48;2,17
2,7;-0,451;2,19
2,8;-0,394;2,25
2,9;-0,308;2,33
3;-0,206;2,42
3,1;-0,109;2,52
3,2;-0,012;2,62
3,3;0,068;2,7
3,4;0,122;2,76
3,5;0,143;2,79
3,6;0,135;2,79
3,7;0,092;2,76
3,8;0,028;2,69
3,9;-0,061;2,61
4;-0,158;2,51
4,1;-0,261;2,41
4,2;-0,352;2,32
4,3;-0,42;2,24
4,4;-0,47;2,19
4,5;-0,483;2,17
4,6;-0,465;2,17
4,7;-0,423;2,21
4,8;-0,348;2,28
4,9;-0,259;2,37
5;-0,157;2,47
5,1;-0,063;2,57
5,2;0,024;2,66
5,3;0,091;2,73
5,4;0,13;2,78
5,5;0,143;2,79
5,6;0,119;2,78
5,7;0,065;2,73
5,8;-0,01;2,66
5,9;-0,104;2,57
6;-0,206;2,47
6,1;-0,307;2,37
6,2;-0,385;2,28
6,3;-0,445;2,22
6,4;-0,479;2,17
6,5;-0,478;2,17
6,6;-0,45;2,19
6,7;-0,387;2,24
6,8;-0,31;2,32
6,9;-0,216;2,41
7;-0,114;2,51
7,1;-0,02;2,61
7,2;0,055;2,69
7,3;0,112;2,75
7,4;0,139;2,79
7,5;0,133;2,79
7,6;0,094;2,76
7,7;0,031;2,7
7,8;-0,054;2,62
7,9;-0,149;2,53
8;-0,249;2,42
8,1;-0,34;2,33
8,2;-0,411;2,25
8,3;-0,463;2,19
8,4;-0,48;2,16
8,5;-0,469;2,17
8,6;-0,427;2,21
8,7;-0,36;2,28
8,8;-0,271;2,36
8,9;-0,17;2,46
9;-0,074;2,56
9,1;0,014;2,65
9,2;0,082;2,72
9,3;0,124;2,77
9,4;0,133;2,79
9,5;0,116;2,78
9,6;0,067;2,74
9,7;-0,003;2,67
9,8;-0,099;2,57
9,9;-0,196;2,48
10;-0,293;2,38
10,1;-0,376;2,29
10,2;-0,438;2,22
10,3;-0,477;2,18
10,4;-0,479;2,16
10,5;-0,454;2,19
10,6;-0,398;2,24
10,7;-0,321;2,32
10,8;-0,227;2,41
10,9;-0,126;2,51
11;-0,031;2,6
11,1;0,047;2,68
11,2;0,106;2,75
11,3;0,133;2,78
11,4;0,129;2,79
11,5;0,092;2,76
11,6;0,034;2,71
11,7;-0,048;2,63
11,8;-0,144;2,53
11,9;-0,242;2,43
12;-0,337;2,34
12,1;-0,41;2,26
12,2;-0,455;2,2
12,3;-0,482;2,17
12,4;-0,469;2,17
12,5;-0,427;2,2
12,6;-0,361;2,27
12,7;-0,278;2,35
12,8;-0,185;2,45
12,9;-0,077;2,55
13;0,008;2,65
13,1;0,073;2,72
13,2;0,123;2,77
13,3;0,134;2,79
13,4;0,116;2,78
13,5;0,068;2,74
13,6;-0,001;2,67
13,7;-0,089;2,58
13,8;-0,192;2,49
13,9;-0,287;2,39
14;-0,37;2,3
14,1;-0,434;2,22
14,2;-0,469;2,18
14,3;-0,478;2,16
14,4;-0,455;2,18
14,5;-0,405;2,23
14,6;-0,325;2,31
14,7;-0,23;2,4
14,8;-0,135;2,5
14,9;-0,042;2,59
15;0,037;2,68
15,1;0,096;2,74
15,2;0,128;2,78
15,3;0,127;2,79
15,4;0,098;2,76
15,5;0,036;2,71
15,6;-0,045;2,63
15,7;-0,135;2,54
15,8;-0,231;2,44
15,9;-0,324;2,34
16;-0,401;2,26
16,1;-0,451;2,2
16,2;-0,475;2,17
16,3;-0,468;2,17
16,4;-0,429;2,2
16,5;-0,37;2,26
16,6;-0,282;2,34
16,7;-0,188;2,44
16,8;-0,09;2,54
16,9;-0,004;2,63
17;0,07;2,71
17,1;0,113;2,77
17,2;0,131;2,79
17,3;0,116;2,78
17,4;0,073;2,74
17,5;0,004;2,68
17,6;-0,083;2,59
17,7;-0,177;2,49
17,8;-0,274;2,39
17,9;-0,361;2,3
18;-0,427;2,23
18,1;-0,468;2,18
18,2;-0,475;2,17
18,3;-0,451;2,18
18,4;-0,404;2,23
18,5;-0,327;2,3
18,6;-0,246;2,38
18,7;-0,145;2,49
18,8;-0,051;2,59
18,9;0,033;2,67
19;0,093;2,74
19,1;0,125;2,78
19,2;0,13;2,79
19,3;0,099;2,77
19,4;0,045;2,72
19,5;-0,033;2,64
19,6;-0,125;2,55
19,7;-0,224;2,45
19,8;-0,315;2,35
19,9;-0,393;2,27
20;-0,447;2,21
20,1;-0,473;2,17
20,2;-0,466;2,17
20,3;-0,431;2,2
20,4;-0,374;2,26
20,5;-0,293;2,34
20,6;-0,197;2,43
20,7;-0,103;2,53
20,8;-0,011;2,62
20,9;0,06;2,71
21;0,107;2,76
21,1;0,128;2,79
21,2;0,114;2,78
21,3;0,074;2,74
21,4;0,009;2,68
21,5;-0,076;2,6
21,6;-0,169;2,5
21,7;-0,266;2,4
21,8;-0,352;2,31
21,9;-0,417;2,24
22;-0,459;2,19
22,1;-0,474;2,17
22,2;-0,457;2,18
22,3;-0,409;2,22
22,4;-0,34;2,29
22,5;-0,251;2,38
22,6;-0,154;2,48
22,7;-0,064;2,58
22,8;0,018;2,66
22,9;0,083;2,73
23;0,121;2,78
23,1;0,127;2,79
23,2;0,101;2,77
23,3;0,046;2,72
23,4;-0,026;2,64
23,5;-0,118;2,55
23,6;-0,211;2,45
23,7;-0,306;2,36
23,8;-0,384;2,27
23,9;-0,439;2,21
24;-0,468;2,17
24,1;-0,469;2,17
24,2;-0,435;2,2
24,3;-0,38;2,25
24,4;-0,298;2,33
24,5;-0,208;2,42
24,6;-0,113;2,53
24,7;-0,022;2,62
24,8;0,054;2,7
24,9;0,103;2,76
25;0,125;2,79
25,1;0,115;2,79
25,2;0,077;2,75
25,3;0,013;2,69
25,4;-0,066;2,61
25,5;-0,16;2,51
25,6;-0,254;2,41
25,7;-0,342;2,32
25,8;-0,41;2,24
25,9;-0,455;2,19
26;-0,47;2,17
26,1;-0,454;2,18
26,2;-0,413;2,22
26,3;-0,342;2,29
26,4;-0,256;2,37
26,5;-0,165;2,47
26,6;-0,07;2,57
26,7;0,013;2,66
26,8;0,08;2,73
26,9;0,116;2,77
27;0,125;2,79
27,1;0,104;2,77
27,2;0,05;2,72
27,3;-0,02;2,65
27,4;-0,107;2,56
