$t$ / s;$U_A1$ / V;$U_B1$ / V
0;-0,08;2,69
0,1;-0,079;2,68
0,2;-0,075;2,64
0,3;-0,073;2,57
0,4;-0,066;2,48
0,5;-0,057;2,37
0,6;-0,051;2,27
0,7;-0,053;2,19
0,8;-0,06;2,13
0,9;-0,07;2,1
1;-0,086;2,1
1,1;-0,108;2,13
1,2;-0,126;2,2
1,3;-0,144;2,28
1,4;-0,154;2,38
1,5;-0,158;2,47
1,6;-0,145;2,56
1,7;-0,124;2,62
1,8;-0,095;2,66
1,9;-0,062;2,66
2;-0,023;2,63
2,1;0,014;2,57
2,2;0,04;2,5
2,3;0,055;2,41
2,4;0,057;2,32
2,5;0,036;2,24
2,6;0;2,17
2,7;-0,041;2,14
2,8;-0,095;2,14
2,9;-0,151;2,16
3;-0,199;2,21
3,1;-0,236;2,28
3,2;-0,253;2,36
3,3;-0,254;2,44
3,4;-0,234;2,51
3,5;-0,187;2,56
3,6;-0,127;2,6
3,7;-0,061;2,6
3,8;0,009;2,58
3,9;0,067;2,54
4;0,113;2,48
4,1;0,14;2,42
4,2;0,144;2,35
4,3;0,114;2,3
4,4;0,067;2,25
4,5;-0,001;2,22
4,6;-0,079;2,22
4,7;-0,163;2,23
4,8;-0,236;2,26
4,9;-0,294;2,3
5;-0,325;2,35
5,1;-0,329;2,4
5,2;-0,3;2,45
5,3;-0,244;2,48
5,4;-0,172;2,5
5,5;-0,083;2,51
5,6;0,007;2,5
5,7;0,092;2,48
5,8;0,161;2,45
5,9;0,2;2,41
6;0,205;2,38
6,1;0,181;2,36
6,2;0,122;2,33
6,3;0,043;2,32
6,4;-0,051;2,32
6,5;-0,147;2,32
6,6;-0,24;2,34
6,7;-0,308;2,36
6,8;-0,355;2,37
6,9;-0,365;2,39
7;-0,343;2,4
7,1;-0,288;2,4
7,2;-0,213;2,4
7,3;-0,117;2,4
7,4;-0,016;2,39
7,5;0,078;2,39
7,6;0,155;2,38
7,7;0,205;2,38
7,8;0,22;2,38
7,9;0,203;2,4
8;0,15;2,41
8,1;0,073;2,42
8,2;-0,021;2,43
8,3;-0,121;2,44
8,4;-0,21;2,44
8,5;-0,284;2,44
8,6;-0,336;2,42
8,7;-0,354;2,4
8,8;-0,342;2,37
8,9;-0,299;2,34
9;-0,225;2,31
9,1;-0,139;2,29
9,2;-0,048;2,28
9,3;0,041;2,28
9,4;0,114;2,3
9,5;0,166;2,33
9,6;0,189;2,36
9,7;0,178;2,41
9,8;0,14;2,46
9,9;0,076;2,5
10;-0,003;2,53
10,1;-0,084;2,55
10,2;-0,167;2,54
10,3;-0,233;2,52
10,4;-0,28;2,48
10,5;-0,304;2,42
10,6;-0,298;2,36
10,7;-0,265;2,3
10,8;-0,215;2,25
10,9;-0,147;2,2
11;-0,077;2,19
11,1;-0,005;2,19
11,2;0,055;2,21
11,3;0,098;2,26
11,4;0,117;2,33
11,5;0,113;2,41
11,6;0,091;2,48
11,7;0,046;2,55
11,8;-0,011;2,6
11,9;-0,067;2,63
12;-0,122;2,63
12,1;-0,168;2,59
12,2;-0,201;2,54
12,3;-0,216;2,47
12,4;-0,218;2,38
12,5;-0,199;2,29
12,6;-0,163;2,21
12,7;-0,128;2,15
12,8;-0,088;2,13
12,9;-0,043;2,13
13;-0,011;2,15
13,1;0,009;2,21
13,2;0,02;2,29
13,3;0,016;2,38
13,4;0,003;2,47
13,5;-0,016;2,56
13,6;-0,041;2,63
13,7;-0,067;2,66
13,8;-0,087;2,67
13,9;-0,105;2,64
14;-0,114;2,59
14,1;-0,113;2,5
14,2;-0,111;2,41
14,3;-0,101;2,31
14,4;-0,089;2,22
14,5;-0,082;2,15
14,6;-0,075;2,11
14,7;-0,072;2,1
14,8;-0,074;2,12
14,9;-0,078;2,18
15;-0,085;2,25
15,1;-0,094;2,35
15,2;-0,102;2,45
15,3;-0,103;2,54
15,4;-0,1;2,62
15,5;-0,088;2,66
15,6;-0,072;2,68
15,7;-0,048;2,66
15,8;-0,032;2,61
15,9;-0,013;2,53
16;0,001;2,44
16,1;0,008;2,34
16,2;0,006;2,25
16,3;-0,014;2,18
16,4;-0,039;2,13
16,5;-0,075;2,12
16,6;-0,112;2,13
16,7;-0,152;2,17
16,8;-0,184;2,25
16,9;-0,202;2,33
17;-0,208;2,41
17,1;-0,199;2,5
17,2;-0,167;2,57
17,3;-0,132;2,61
17,4;-0,082;2,63
17,5;-0,026;2,63
17,6;0,029;2,59
17,7;0,074;2,53
17,8;0,1;2,45
17,9;0,109;2,38
18;0,097;2,3
18,1;0,062;2,24
18,2;0,009;2,2
18,3;-0,055;2,18
18,4;-0,127;2,19
18,5;-0,195;2,22
18,6;-0,248;2,26
18,7;-0,283;2,32
18,8;-0,296;2,39
18,9;-0,283;2,45
19;-0,243;2,5
19,1;-0,182;2,54
19,2;-0,107;2,56
