$t$ / s;$U_A1$ / V;$U_B1$ / V
0;0;2,68
0,1;0,004;2,6
0,2;0,01;2,49
0,3;0,011;2,36
0,4;0,007;2,24
0,5;-0,012;2,13
0,6;-0,042;2,05
0,7;-0,082;2,02
0,8;-0,125;2,03
0,9;-0,17;2,08
1;-0,204;2,16
1,1;-0,227;2,27
1,2;-0,223;2,38
1,3;-0,195;2,48
1,4;-0,145;2,56
1,5;-0,074;2,61
1,6;0,014;2,63
1,7;0,096;2,61
1,8;0,169;2,56
1,9;0,217;2,49
2;0,239;2,41
2,1;0,222;2,33
2,2;0,166;2,26
2,3;0,08;2,22
2,4;-0,027;2,19
2,5;-0,142;2,19
2,6;-0,246;2,21
2,7;-0,329;2,24
2,8;-0,378;2,28
2,9;-0,388;2,32
3;-0,35;2,35
3,1;-0,272;2,38
3,2;-0,16;2,39
3,3;-0,036;2,39
3,4;0,089;2,39
3,5;0,197;2,39
3,6;0,273;2,39
3,7;0,313;2,4
3,8;0,304;2,41
3,9;0,245;2,42
4;0,152;2,44
4,1;0,036;2,45
4,2;-0,086;2,45
4,3;-0,2;2,44
4,4;-0,292;2,41
4,5;-0,35;2,37
4,6;-0,368;2,32
4,7;-0,342;2,26
4,8;-0,278;2,2
4,9;-0,19;2,16
5;-0,09;2,15
5,1;0,008;2,15
5,2;0,093;2,18
5,3;0,162;2,24
5,4;0,193;2,32
5,5;0,193;2,42
5,6;0,163;2,51
5,7;0,109;2,59
5,8;0,044;2,65
5,9;-0,021;2,66
6;-0,086;2,64
6,1;-0,137;2,58
6,2;-0,162;2,48
6,3;-0,174;2,37
6,4;-0,168;2,25
6,5;-0,15;2,14
6,6;-0,125;2,05
6,7;-0,096;2,01
6,8;-0,076;2,01
6,9;-0,058;2,05
7;-0,052;2,13
7,1;-0,052;2,25
7,2;-0,048;2,37
7,3;-0,047;2,5
7,4;-0,039;2,6
7,5;-0,026;2,68
7,6;-0,002;2,71
7,7;0,022;2,69
7,8;0,049;2,63
7,9;0,074;2,55
8;0,086;2,43
8,1;0,084;2,31
8,2;0,058;2,2
8,3;0,017;2,12
8,4;-0,042;2,07
8,5;-0,109;2,05
8,6;-0,178;2,08
8,7;-0,238;2,14
8,8;-0,276;2,22
8,9;-0,291;2,31
9;-0,271;2,41
9,1;-0,222;2,48
9,2;-0,139;2,54
9,3;-0,044;2,56
9,4;0,063;2,56
9,5;0,156;2,54
9,6;0,233;2,49
9,7;0,274;2,44
9,8;0,272;2,38
9,9;0,231;2,33
10;0,149;2,3
10,1;0,043;2,27
10,2;-0,078;2,26
10,3;-0,201;2,27
10,4;-0,303;2,28
10,5;-0,375;2,29
10,6;-0,401;2,3
10,7;-0,384;2,31
10,8;-0,322;2,31
10,9;-0,228;2,32
11;-0,107;2,32
11,1;0,021;2,31
11,2;0,133;2,32
11,3;0,226;2,34
11,4;0,281;2,37
11,5;0,292;2,4
11,6;0,261;2,44
11,7;0,192;2,48
11,8;0,09;2,51
11,9;-0,02;2,53
12;-0,133;2,52
12,1;-0,223;2,48
12,2;-0,288;2,43
12,3;-0,321;2,36
12,4;-0,313;2,28
12,5;-0,276;2,21
12,6;-0,213;2,14
12,7;-0,133;2,09
12,8;-0,049;2,08
12,9;0,022;2,11
13;0,083;2,17
13,1;0,122;2,26
13,2;0,131;2,37
13,3;0,119;2,48
13,4;0,088;2,58
13,5;0,049;2,65
13,6;0,009;2,68
13,7;-0,031;2,68
13,8;-0,061;2,64
13,9;-0,082;2,56
14;-0,094;2,44
14,1;-0,096;2,31
14,2;-0,091;2,19
14,3;-0,086;2,09
14,4;-0,087;2,03
14,5;-0,093;2
