$t$ / s;$U_A1$ / V;$U_B1$ / V
0;-0,474;1,97
0,1;-0,5;1,95
0,2;-0,487;1,98
0,3;-0,43;2,05
0,4;-0,337;2,16
0,5;-0,216;2,29
0,6;-0,076;2,42
0,7;0,063;2,56
0,8;0,19;2,68
0,9;0,285;2,76
1;0,345;2,81
1,1;0,368;2,81
1,2;0,34;2,77
1,3;0,272;2,7
1,4;0,167;2,59
1,5;0,034;2,46
1,6;-0,108;2,33
1,7;-0,246;2,2
1,8;-0,371;2,09
1,9;-0,463;2,02
2;-0,519;1,98
2,1;-0,521;1,98
2,2;-0,479;2,03
2,3;-0,398;2,11
2,4;-0,28;2,22
2,5;-0,145;2,34
2,6;0,003;2,47
2,7;0,143;2,59
2,8;0,26;2,7
2,9;0,341;2,76
3;0,38;2,79
3,1;0,373;2,79
3,2;0,316;2,74
3,3;0,22;2,65
3,4;0,092;2,55
3,5;-0,056;2,42
3,6;-0,203;2,29
3,7;-0,335;2,17
3,8;-0,439;2,08
3,9;-0,51;2,01
4;-0,534;1,99
4,1;-0,508;2
4,2;-0,437;2,06
4,3;-0,331;2,14
4,4;-0,197;2,25
4,5;-0,054;2,38
4,6;0,094;2,51
4,7;0,222;2,62
4,8;0,314;2,72
4,9;0,369;2,77
5;0,377;2,8
5,1;0,337;2,78
5,2;0,257;2,72
5,3;0,142;2,63
5,4;0,003;2,51
5,5;-0,143;2,38
5,6;-0,28;2,26
5,7;-0,398;2,14
5,8;-0,483;2,05
5,9;-0,518;1,99
6;-0,511;1,98
6,1;-0,46;2
6,2;-0,369;2,07
6,3;-0,248;2,17
6,4;-0,111;2,29
6,5;0,031;2,42
6,6;0,163;2,55
6,7;0,269;2,67
6,8;0,338;2,75
6,9;0,362;2,8
7;0,343;2,81
7,1;0,281;2,78
7,2;0,184;2,7
7,3;0,062;2,59
7,4;-0,078;2,47
7,5;-0,217;2,33
7,6;-0,334;2,2
7,7;-0,431;2,09
7,8;-0,485;2,01
7,9;-0,498;1,96
8;-0,471;1,96
8,1;-0,404;2,01
8,2;-0,303;2,09
8,3;-0,175;2,21
8,4;-0,042;2,34
8,5;0,088;2,49
8,6;0,198;2,62
8,7;0,284;2,73
8,8;0,327;2,8
8,9;0,337;2,84
9;0,3;2,83
9,1;0,226;2,77
9,2;0,123;2,67
9,3;-0,001;2,54
9,4;-0,131;2,4
9,5;-0,258;2,25
9,6;-0,355;2,13
9,7;-0,433;2,02
9,8;-0,473;1,96
9,9;-0,47;1,94
10;-0,43;1,97
10,1;-0,352;2,04
10,2;-0,249;2,15
10,3;-0,126;2,28
10,4;0,002;2,43
10,5;0,123;2,57
10,6;0,219;2,7
10,7;0,289;2,79
10,8;0,322;2,84
10,9;0,311;2,84
11;0,265;2,8
11,1;0,189;2,72
11,2;0,084;2,6
11,3;-0,041;2,46
11,4;-0,164;2,31
11,5;-0,278;2,18
11,6;-0,378;2,06
11,7;-0,441;1,98
11,8;-0,47;1,94
11,9;-0,459;1,95
12;-0,407;2,01
12,1;-0,324;2,1
12,2;-0,214;2,23
12,3;-0,092;2,37
12,4;0,033;2,52
12,5;0,152;2,65
12,6;0,245;2,76
12,7;0,307;2,82
12,8;0,327;2,84
12,9;0,31;2,82
13;0,255;2,75
13,1;0,167;2,65
13,2;0,051;2,51
13,3;-0,076;2,37
13,4;-0,203;2,22
13,5;-0,321;2,1
13,6;-0,41;2,01
13,7;-0,467;1,96
13,8;-0,485;1,95
13,9;-0,456;1,99
14;-0,397;2,07
14,1;-0,3;2,18
14,2;-0,179;2,31
14,3;-0,043;2,46
14,4;0,082;2,59
14,5;0,197;2,7
14,6;0,285;2,78
14,7;0,338;2,82
14,8;0,347;2,82
14,9;0,314;2,77
15;0,239;2,68
15,1;0,133;2,57
15,2;0,003;2,43
15,3;-0,128;2,3
15,4;-0,263;2,17
15,5;-0,378;2,07
15,6;-0,461;2
15,7;-0,508;1,97
15,8;-0,503;1,99
15,9;-0,458;2,04
16;-0,373;2,13
16,1;-0,26;2,25
16,2;-0,119;2,38
16,3;0,023;2,51
16,4;0,152;2,63
16,5;0,263;2,72
16,6;0,34;2,78
16,7;0,37;2,8
16,8;0,35;2,78
16,9;0,291;2,72
17;0,198;2,63
17,1;0,07;2,51
17,2;-0,074;2,38
17,3;-0,215;2,26
17,4;-0,344;2,15
17,5;-0,443;2,06
17,6;-0,506;2,01
17,7;-0,524;1,99
17,8;-0,495;2,02
17,9;-0,42;2,08
18;-0,313;2,17
18,1;-0,176;2,29
18,2;-0,032;2,42
18,3;0,111;2,54
18,4;0,233;2,65
18,5;0,321;2,73
18,6;0,37;2,78
18,7;0,373;2,79
18,8;0,331;2,75
18,9;0,245;2,69
19;0,124;2,59
19,1;-0,014;2,47
19,2;-0,162;2,35
19,3;-0,295;2,23
19,4;-0,411;2,12
19,5;-0,49;2,04
19,6;-0,519;2
19,7;-0,506;1,99
19,8;-0,452;2,03
19,9;-0,357;2,1
20;-0,23;2,21
20,1;-0,089;2,32
20,2;0,055;2,45
20,3;0,184;2,57
20,4;0,281;2,68
20,5;0,348;2,76
20,6;0,367;2,79
20,7;0,341;2,8
20,8;0,27;2,75
20,9;0,166;2,67
21;0,033;2,57
21,1;-0,105;2,44
21,2;-0,243;2,3
21,3;-0,357;2,18
21,4;-0,448;2,08
21,5;-0,496;2,01
21,6;-0,504;1,97
21,7;-0,466;1,98
21,8;-0,386;2,04
21,9;-0,278;2,12
22;-0,149;2,24
22,1;-0,012;2,37
22,2;0,117;2,51
22,3;0,224;2,63
22,4;0,302;2,73
22,5;0,34;2,8
22,6;0,336;2,82
22,7;0,292;2,8
22,8;0,207;2,74
22,9;0,095;2,64
23;-0,032;2,52
23,1;-0,163;2,37
23,2;-0,285;2,25
23,3;-0,386;2,12
23,4;-0,449;2,02
23,5;-0,476;1,97
23,6;-0,467;1,96
23,7;-0,416;1,99
23,8;-0,328;2,06
23,9;-0,215;2,17
24;-0,089;2,3
24,1;0,038;2,44
24,2;0,15;2,59
24,3;0,243;2,71
24,4;0,302;2,79
24,5;0,322;2,83
24,6;0,303;2,83
24,7;0,248;2,78
24,8;0,162;2,7
24,9;0,049;2,58
25;-0,076;2,43
25,1;-0,2;2,29
25,2;-0,311;2,15
25,3;-0,398;2,05
25,4;-0,448;1,97
25,5;-0,465;1,94
25,6;-0,441;1,95
25,7;-0,38;2,02
25,8;-0,291;2,12
25,9;-0,175;2,25
26;-0,054;2,39
26,1;0,067;2,53
26,2;0,172;2,66
26,3;0,254;2,77
26,4;0,304;2,83
26,5;0,316;2,84
26,6;0,288;2,81
26,7;0,223;2,74
26,8;0,129;2,63
26,9;0,011;2,49
27;-0,107;2,35
27,1;-0,23;2,21
27,2;-0,336;2,09
27,3;-0,419;2
27,4;-0,464;1,95
27,5;-0,466;1,95
27,6;-0,432;2
27,7;-0,365;2,08
27,8;-0,263;2,2
27,9;-0,145;2,33
28;-0,017;2,48
28,1;0,108;2,61
28,2;0,21;2,72
28,3;0,286;2,8
28,4;0,322;2,83
28,5;0,323;2,82
28,6;0,284;2,76
28,7;0,207;2,67
28,8;0,098;2,55
28,9;-0,027;2,41
29;-0,158;2,27
29,1;-0,282;2,15
29,2;-0,388;2,05
29,3;-0,456;1,99
29,4;-0,492;1,97
29,5;-0,483;1,99
29,6;-0,431;2,05
29,7;-0,342;2,15
29,8;-0,225;2,27
29,9;-0,093;2,41
30;0,043;2,54
30,1;0,169;2,65
30,2;0,27;2,74
30,3;0,331;2,8
30,4;0,355;2,81
30,5;0,336;2,77
30,6;0,27;2,7
30,7;0,173;2,6
30,8;0,044;2,48
30,9;-0,091;2,35
31;-0,23;2,23
31,1;-0,351;2,12
31,2;-0,445;2,04
31,3;-0,5;2
31,4;-0,511;1,99
31,5;-0,478;2,03
31,6;-0,399;2,1
31,7;-0,288;2,21
31,8;-0,158;2,33
31,9;-0,014;2,46
32;0,126;2,57
32,1;0,239;2,67
32,2;0,322;2,75
32,3;0,366;2,79
32,4;0,359;2,78
32,5;0,315;2,74
32,6;0,225;2,66
32,7;0,103;2,56
32,8;-0,035;2,43
32,9;-0,179;2,31
33;-0,311;2,2
33,1;-0,419;2,1
33,2;-0,491;2,03
33,3;-0,52;2,01
33,4;-0,501;2,01
33,5;-0,438;2,06
33,6;-0,338;2,14
33,7;-0,21;2,24
33,8;-0,068;2,37
33,9;0,075;2,49
34;0,199;2,6
34,1;0,298;2,69
34,2;0,355;2,76
34,3;0,368;2,79
34,4;0,334;2,77
34,5;0,263;2,72
34,6;0,149;2,63
34,7;0,019;2,52
34,8;-0,122;2,4
34,9;-0,26;2,27
35;-0,375;2,16
35,1;-0,459;2,07
35,2;-0,505;2,01
35,3;-0,507;1,99
35,4;-0,457;2,01
35,5;-0,373;2,07
35,6;-0,255;2,16
35,7;-0,124;2,27
35,8;0,016;2,41
35,9;0,138;2,53
36;0,245;2,64
36,1;0,319;2,73
36,2;0,349;2,79
36,3;0,335;2,8
36,4;0,278;2,77
36,5;0,188;2,71
36,6;0,069;2,61
36,7;-0,064;2,49
36,8;-0,192;2,35
36,9;-0,313;2,22
37;-0,407;2,11
37,1;-0,466;2,02
37,2;-0,485;1,97
37,3;-0,465;1,97
37,4;-0,402;2,01
37,5;-0,305;2,09
37,6;-0,19;2,2
37,7;-0,061;2,33
37,8;0,069;2,47
37,9;0,18;2,6
38;0,265;2,71
38,1;0,316;2,79
38,2;0,33;2,82
38,3;0,297;2,81
38,4;0,231;2,76
38,5;0,132;2,67
38,6;0,013;2,55
38,7;-0,111;2,41
38,8;-0,233;2,27
38,9;-0,339;2,14
39;-0,411;2,04
39,1;-0,455;1,97
39,2;-0,461;1,95
39,3;-0,429;1,97
39,4;-0,358;2,03
39,5;-0,257;2,14
39,6;-0,14;2,27
39,7;-0,016;2,41
39,8;0,1;2,55
39,9;0,201;2,68
40;0,272;2,77
40,1;0,31;2,83
40,2;0,307;2,84
40,3;0,269;2,8
40,4;0,196;2,72
40,5;0,093;2,61
40,6;-0,024;2,47
40,7;-0,147;2,33
40,8;-0,264;2,19
40,9;-0,357;2,07
41;-0,426;1,99
41,1;-0,457;1,95
41,2;-0,451;1,95
41,3;-0,407;2
41,4;-0,332;2,09
41,5;-0,225;2,22
41,6;-0,108;2,35
41,7;0,017;2,5
41,8;0,132;2,63
41,9;0,225;2,74
42;0,288;2,81
42,1;0,315;2,83
42,2;0,304;2,82
42,3;0,255;2,75
42,4;0,174;2,65
42,5;0,065;2,52
42,6;-0,059;2,38
42,7;-0,186;2,25
42,8;-0,301;2,12
42,9;-0,392;2,03
43;-0,451;1,97
43,1;-0,472;1,96
43,2;-0,454;1,99
43,3;-0,396;2,06
;;
