$t$ / s;$U_A1$ / V;$U_B1$ / V
0;-0,056;2,45
0,1;-0,055;2,36
0,2;-0,058;2,28
0,3;-0,067;2,2
0,4;-0,081;2,14
0,5;-0,103;2,12
0,6;-0,126;2,12
0,7;-0,15;2,16
0,8;-0,169;2,23
0,9;-0,182;2,31
1;-0,185;2,4
1,1;-0,17;2,48
1,2;-0,145;2,55
1,3;-0,107;2,59
1,4;-0,063;2,61
1,5;-0,014;2,6
1,6;0,031;2,56
1,7;0,062;2,5
1,8;0,085;2,43
1,9;0,083;2,36
2;0,06;2,29
2,1;0,017;2,24
2,2;-0,039;2,21
2,3;-0,109;2,19
2,4;-0,175;2,2
2,5;-0,235;2,23
2,6;-0,282;2,28
2,7;-0,301;2,33
2,8;-0,297;2,39
2,9;-0,266;2,43
3;-0,206;2,47
3,1;-0,132;2,49
3,2;-0,05;2,5
3,3;0,03;2,49
3,4;0,102;2,47
3,5;0,153;2,44
3,6;0,173;2,41
3,7;0,161;2,38
3,8;0,121;2,36
3,9;0,053;2,34
4;-0,026;2,33
4,1;-0,118;2,33
4,2;-0,211;2,33
4,3;-0,286;2,34
4,4;-0,331;2,35
4,5;-0,351;2,35
4,6;-0,338;2,35
4,7;-0,29;2,35
4,8;-0,218;2,35
4,9;-0,131;2,35
5;-0,037;2,35
5,1;0,049;2,35
5,2;0,118;2,36
5,3;0,163;2,37
5,4;0,179;2,4
5,5;0,159;2,42
5,6;0,112;2,45
5,7;0,041;2,46
5,8;-0,04;2,48
5,9;-0,128;2,48
6;-0,205;2,47
6,1;-0,267;2,44
6,2;-0,299;2,4
6,3;-0,31;2,35
6,4;-0,292;2,31
6,5;-0,25;2,26
6,6;-0,184;2,23
6,7;-0,117;2,21
6,8;-0,046;2,21
6,9;0,018;2,24
7;0,068;2,28
7,1;0,093;2,34
7,2;0,098;2,4
7,3;0,077;2,47
7,4;0,042;2,53
7,5;-0,005;2,58
7,6;-0,057;2,6
7,7;-0,109;2,59
7,8;-0,149;2,56
7,9;-0,184;2,5
8;-0,2;2,43
8,1;-0,198;2,35
8,2;-0,183;2,26
8,3;-0,164;2,19
8,4;-0,135;2,15
8,5;-0,104;2,12
8,6;-0,078;2,14
8,7;-0,059;2,18
8,8;-0,045;2,24
8,9;-0,037;2,32
9;-0,04;2,41
9,1;-0,045;2,5
9,2;-0,054;2,58
9,3;-0,057;2,63
9,4;-0,063;2,64
9,5;-0,06;2,63
9,6;-0,056;2,58
9,7;-0,053;2,51
9,8;-0,051;2,43
9,9;-0,05;2,33
10;-0,06;2,25
10,1;-0,069;2,18
10,2;-0,088;2,13
10,3;-0,109;2,12
10,4;-0,135;2,14
10,5;-0,16;2,18
