t / s;U_A1 / V;U_B1 / V
175,4;-0,315;2,57
175,5;-0,407;2,47
175,6;-0,486;2,38
175,7;-0,548;2,31
175,8;-0,585;2,27
175,9;-0,585;2,25
176;-0,556;2,27
176,1;-0,496;2,32
176,2;-0,415;2,4
176,3;-0,324;2,49
176,4;-0,222;2,59
176,5;-0,132;2,69
176,6;-0,055;2,78
176,7;0,002;2,84
176,8;0,027;2,88
176,9;0,019;2,89
177;-0,017;2,86
177,1;-0,079;2,8
177,2;-0,163;2,73
177,3;-0,256;2,63
177,4;-0,357;2,53
177,5;-0,447;2,44
177,6;-0,52;2,35
177,7;-0,567;2,29
177,8;-0,587;2,26
177,9;-0,575;2,26
178;-0,534;2,29
178,1;-0,463;2,35
178,2;-0,377;2,43
178,3;-0,278;2,53
178,4;-0,182;2,63
178,5;-0,095;2,73
178,6;-0,027;2,81
178,7;0,015;2,86
178,8;0,031;2,89
178,9;0,011;2,88
179;-0,036;2,84
179,1;-0,114;2,77
179,2;-0,2;2,69
179,3;-0,302;2,59
179,4;-0,396;2,49
179,5;-0,479;2,4
179,6;-0,541;2,32
179,7;-0,58;2,28
179,8;-0,586;2,26
179,9;-0,56;2,27
180;-0,505;2,31
180,1;-0,427;2,39
180,2;-0,337;2,48
180,3;-0,235;2,58
180,4;-0,14;2,68
180,5;-0,063;2,77
180,6;-0,003;2,83
180,7;0,025;2,88
180,8;0,022;2,89
180,9;-0,012;2,87
181;-0,068;2,81
181,1;-0,152;2,74
181,2;-0,249;2,65
181,3;-0,343;2,55
181,4;-0,434;2,45
181,5;-0,505;2,36
181,6;-0,561;2,3
181,7;-0,584;2,27
181,8;-0,576;2,26
181,9;-0,536;2,29
182;-0,472;2,34
182,1;-0,388;2,43
182,2;-0,29;2,52
182,3;-0,191;2,62
182,4;-0,106;2,72
182,5;-0,034;2,8
182,6;0,011;2,86
182,7;0,025;2,88
182,8;0,01;2,88
182,9;-0,033;2,85
183;-0,102;2,79
183,1;-0,192;2,7
183,2;-0,289;2,61
183,3;-0,383;2,5
183,4;-0,47;2,41
183,5;-0,535;2,33
183,6;-0,576;2,28
183,7;-0,583;2,26
183,8;-0,561;2,27
183,9;-0,51;2,31
184;-0,436;2,38
184,1;-0,345;2,47
184,2;-0,245;2,57
184,3;-0,152;2,67
184,4;-0,07;2,75
184,5;-0,01;2,83
184,6;0,021;2,87
184,7;0,024;2,89
184,8;-0,004;2,87
184,9;-0,063;2,82
185;-0,141;2,75
185,1;-0,235;2,66
185,2;-0,334;2,56
185,3;-0,424;2,46
185,4;-0,499;2,37
185,5;-0,555;2,31
185,6;-0,581;2,27
185,7;-0,577;2,26
185,8;-0,546;2,28
185,9;-0,477;2,34
186;-0,393;2,42
186,1;-0,298;2,51
186,2;-0,206;2,61
186,3;-0,114;2,71
186,4;-0,041;2,79
186,5;0,007;2,85
186,6;0,025;2,88
186,7;0,013;2,88
186,8;-0,027;2,85
186,9;-0,097;2,79
187;-0,181;2,71
187,1;-0,274;2,61
187,2;-0,371;2,51
187,3;-0,461;2,42
187,4;-0,527;2,34
187,5;-0,569;2,29
187,6;-0,581;2,26
187,7;-0,563;2,27
187,8;-0,516;2,31
187,9;-0,442;2,37
188;-0,354;2,46
188,1;-0,263;2,55
188,2;-0,163;2,65
188,3;-0,082;2,75
188,4;-0,017;2,82
188,5;0,017;2,87
188,6;0,024;2,89
188,7;-0,001;2,88
188,8;-0,053;2,83
188,9;-0,133;2,76
189;-0,227;2,67
189,1;-0,324;2,57
189,2;-0,412;2,47
189,3;-0,49;2,39
189,4;-0,545;2,32
189,5;-0,578;2,27
189,6;-0,576;2,26
189,7;-0,544;2,28
189,8;-0,488;2,33
189,9;-0,406;2,41
190;-0,314;2,5
190,1;-0,22;2,59
190,2;-0,126;2,69
190,3;-0,052;2,78
190,4;0,001;2,84
190,5;0,025;2,88
190,6;0,015;2,88
190,7;-0,022;2,86
190,8;-0,087;2,8
190,9;-0,171;2,72
191;-0,267;2,63
191,1;-0,364;2,53
191,2;-0,451;2,43
191,3;-0,522;2,35
191,4;-0,565;2,29
191,5;-0,58;2,26
191,6;-0,565;2,26
191,7;-0,521;2,3
191,8;-0,453;2,36
191,9;-0,367;2,44
192;-0,272;2,54
192,1;-0,173;2,64
192,2;-0,09;2,73
192,3;-0,025;2,81
192,4;0,014;2,87
192,5;0,025;2,89
192,6;0,004;2,88
192,7;-0,048;2,84
192,8;-0,12;2,77
192,9;-0,207;2,68
193;-0,304;2,58
193,1;-0,403;2,48
193,2;-0,483;2,4
193,3;-0,545;2,32
193,4;-0,577;2,28
193,5;-0,578;2,26
193,6;-0,546;2,27
193,7;-0,493;2,32
193,8;-0,413;2,4
193,9;-0,324;2,49
194;-0,228;2,59
194,1;-0,14;2,69
194,2;-0,061;2,77
194,3;-0,003;2,84
194,4;0,023;2,88
194,5;0,017;2,89
194,6;-0,013;2,86
194,7;-0,077;2,81
194,8;-0,161;2,73
194,9;-0,253;2,64
195;-0,354;2,54
195,1;-0,439;2,45
195,2;-0,512;2,36
195,3;-0,565;2,29
195,4;-0,583;2,26
195,5;-0,571;2,26
195,6;-0,528;2,29
195,7;-0,461;2,35
195,8;-0,378;2,43
195,9;-0,28;2,53
196;-0,185;2,63
196,1;-0,101;2,72
196,2;-0,03;2,8
196,3;0,014;2,86
196,4;0,027;2,88
196,5;0,009;2,88
196,6;-0,04;2,84
196,7;-0,112;2,78
196,8;-0,204;2,69
196,9;-0,295;2,59
197;-0,39;2,5
197,1;-0,475;2,4
197,2;-0,536;2,33
197,3;-0,572;2,28
197,4;-0,577;2,26
197,5;-0,556;2,27
197,6;-0,5;2,32
197,7;-0,425;2,39
197,8;-0,331;2,47
197,9;-0,237;2,58
198;-0,146;2,68
198,1;-0,07;2,76
198,2;-0,014;2,83
198,3;0,017;2,87
198,4;0,017;2,88
198,5;-0,011;2,86
198,6;-0,071;2,82
198,7;-0,151;2,74
198,8;-0,244;2,65
198,9;-0,339;2,55
199;-0,429;2,45
199,1;-0,502;2,37
199,2;-0,558;2,3
199,3;-0,581;2,27
199,4;-0,572;2,26
199,5;-0,535;2,29
199,6;-0,468;2,34
199,7;-0,387;2,42
199,8;-0,292;2,52
199,9;-0,196;2,61
200;-0,111;2,71
200,1;-0,039;2,79
200,2;0,007;2,86
200,3;0,02;2,88
200,4;0,008;2,88
200,5;-0,036;2,85
200,6;-0,105;2,79
200,7;-0,192;2,7
200,8;-0,287;2,61
200,9;-0,383;2,51
201;-0,467;2,41
201,1;-0,53;2,34
201,2;-0,571;2,29
201,3;-0,584;2,27
201,4;-0,557;2,27
201,5;-0,51;2,31
201,6;-0,433;2,38
201,7;-0,347;2,46
201,8;-0,252;2,56
201,9;-0,158;2,66
202;-0,075;2,75
202,1;-0,014;2,82
202,2;0,016;2,87
202,3;0,02;2,88
202,4;-0,007;2,87
202,5;-0,063;2,82
202,6;-0,141;2,75
202,7;-0,234;2,66
202,8;-0,326;2,57
202,9;-0,419;2,47
203;-0,495;2,38
203,1;-0,552;2,31
203,2;-0,577;2,27
203,3;-0,572;2,26
203,4;-0,538;2,28
203,5;-0,478;2,34
203,6;-0,393;2,41
203,7;-0,302;2,5
203,8;-0,204;2,6
203,9;-0,118;2,7
204;-0,048;2,78
204,1;0,006;2,84
204,2;0,025;2,88
204,3;0,012;2,88
204,4;-0,031;2,85
204,5;-0,093;2,79
