$t$ / s;$U_A1$ / V;$U_B1$ / V
0;-0,013;2,36
0,1;-0,116;2,43
0,2;-0,224;2,51
0,3;-0,323;2,58
0,4;-0,401;2,63
0,5;-0,455;2,67
0,6;-0,475;2,68
0,7;-0,458;2,66
0,8;-0,408;2,62
0,9;-0,333;2,57
1;-0,232;2,5
1,1;-0,128;2,42
1,2;-0,019;2,35
1,3;0,068;2,29
1,4;0,135;2,25
1,5;0,169;2,22
1,6;0,169;2,23
1,7;0,133;2,27
1,8;0,063;2,31
1,9;-0,022;2,39
2;-0,126;2,46
2,1;-0,232;2,54
2,2;-0,329;2,6
2,3;-0,407;2,65
2,4;-0,456;2,68
2,5;-0,47;2,68
2,6;-0,452;2,66
2,7;-0,4;2,61
2,8;-0,321;2,55
2,9;-0,223;2,47
3;-0,115;2,39
3,1;-0,016;2,32
3,2;0,072;2,27
3,3;0,138;2,24
3,4;0,164;2,22
3,5;0,158;2,24
3,6;0,122;2,27
3,7;0,055;2,34
3,8;-0,041;2,41
3,9;-0,142;2,49
4;-0,246;2,57
4,1;-0,336;2,63
4,2;-0,407;2,67
4,3;-0,452;2,69
4,4;-0,462;2,68
4,5;-0,438;2,65
4,6;-0,386;2,6
4,7;-0,303;2,53
4,8;-0,205;2,44
4,9;-0,099;2,37
5;-0,002;2,29
5,1;0,078;2,24
5,2;0,13;2,22
5,3;0,156;2,22
5,4;0,148;2,24
5,5;0,105;2,29
5,6;0,034;2,35
5,7;-0,052;2,43
5,8;-0,151;2,52
5,9;-0,251;2,59
6;-0,341;2,65
6,1;-0,41;2,69
6,2;-0,449;2,7
6,3;-0,452;2,69
6,4;-0,426;2,65
6,5;-0,366;2,58
6,6;-0,287;2,5
6,7;-0,187;2,42
6,8;-0,088;2,34
6,9;0,002;2,27
7;0,08;2,22
7,1;0,128;2,2
7,2;0,15;2,21
7,3;0,137;2,24
7,4;0,09;2,3
7,5;0,019;2,37
7,6;-0,073;2,46
7,7;-0,167;2,54
7,8;-0,267;2,62
7,9;-0,347;2,68
8;-0,404;2,71
8,1;-0,439;2,71
8,2;-0,438;2,69
8,3;-0,407;2,64
8,4;-0,349;2,57
8,5;-0,267;2,49
8,6;-0,174;2,4
8,7;-0,08;2,32
8,8;0,009;2,25
8,9;0,079;2,21
9;0,125;2,19
9,1;0,137;2,2
9,2;0,117;2,25
9,3;0,073;2,31
9,4;-0,002;2,39
9,5;-0,089;2,48
9,6;-0,182;2,56
9,7;-0,272;2,64
9,8;-0,347;2,69
9,9;-0,403;2,72
10;-0,431;2,73
10,1;-0,422;2,7
10,2;-0,387;2,63
10,3;-0,324;2,56
10,4;-0,246;2,47
10,5;-0,155;2,38
10,6;-0,066;2,29
10,7;0,017;2,23
10,8;0,08;2,19
10,9;0,117;2,18
11;0,123;2,2
11,1;0,101;2,24
11,2;0,047;2,31
11,3;-0,022;2,4
11,4;-0,107;2,49
11,5;-0,2;2,58
