t / s;s_A1 / m
23,06;0,2274
23,1;0,1253
23,14;0,1254
23,18;0,1234
23,3;0,1211
23,34;0,1254
23,38;0,1253
23,42;0,1254
23,46;0,1254
23,58;0,2495
23,62;0,1254
23,74;0,1234
23,78;0,1234
23,9;0,171
24,02;0,1256
24,06;0,1367
24,1;0,1323
24,14;0,13
24,18;0,1279
24,22;0,1299
24,26;0,1255
24,3;0,1255
24,34;0,1255
24,5;0,1926
24,54;0,1212
24,58;0,1211
24,62;0,1211
24,66;0,2145
24,7;0,2362
25,02;0,1255
25,06;0,13
25,1;0,1299
25,14;0,1299
25,18;0,1298
25,22;0,1299
25,62;0,2545
25,66;0,1279
25,7;0,1299
25,74;0,1279
25,78;0,1299
25,82;0,1299
25,86;0,1279
25,9;0,1279
25,94;0,1299
26,38;0,114
26,5;0,1778
26,54;0,2093
26,58;0,2547
26,7;0,428
26,74;0,4707
26,78;0,5353
26,82;0,6005
26,86;0,6806
26,9;0,7563
26,94;0,8368
26,98;0,9167
27,02;0,9447
27,06;0,9583
27,1;0,9586
27,14;0,9575
27,18;0,951
27,22;0,9439
27,26;0,9457
27,3;0,9479
27,34;0,9496
27,38;0,9556
27,42;0,9449
27,46;0,9437
27,5;0,9388
27,54;0,9431
27,58;0,9388
27,62;0,9431
27,66;0,5342
27,7;0,6396
27,74;0,6046
27,78;0,7274
27,82;0,7975
27,86;0,8161
27,9;0,9475
27,94;0,9388
27,98;0,9473
28,02;0,9476
28,06;0,8165
28,1;0,9519
28,14;0,9518
28,18;0,9474
28,22;0,9474
28,26;0,9473
28,3;0,947
28,34;0,9446
28,38;0,9371
28,42;0,9356
28,46;0,9328
28,5;0,8847
28,54;0,8409
28,58;0,877
28,62;0,8602
28,66;0,776
28,7;0,773
28,74;0,6954
28,78;1,0888
28,82;0,6401
28,86;0,6158
28,9;1,1118
28,94;0,4535
28,98;0,4216
29,02;1,1396
29,06;1,1734
29,1;1,1467
29,14;1,1005
29,18;1,1646
29,22;1,115
29,34;1,1732
29,38;1,1731
29,42;1,1731
29,46;1,1732
29,5;1,1732
29,54;1,1733
29,58;1,1645
29,62;1,1515
29,66;1,1429
29,7;1,1984
29,74;1,092
29,78;1,1046
29,82;1,0872
29,86;1,082
29,9;1,1773
29,94;1,1769
29,98;1,1672
30,02;1,0907
30,06;1,1905
30,1;1,2161
30,14;0,6335
30,18;0,6591
30,22;0,1784
30,26;0,183
30,3;0,112
30,42;0,1646
30,46;0,1722
30,5;0,2241
30,54;0,1135
30,7;0,2242
30,74;0,2325
30,78;0,1281
30,82;0,1315
30,86;0,1574
30,9;0,1531
30,94;0,1574
30,98;0,1574
31,02;0,1574
31,06;0,1574
31,1;0,1791
31,14;0,211
31,18;0,1869
31,22;0,1313
31,26;0,1983
31,38;0,1794
31,42;0,2157
31,46;0,2482
31,5;0,3069
31,54;0,3939
31,58;0,4165
31,62;0,4754
31,66;0,55
31,7;0,6108
31,74;0,6832
31,78;0,7579
31,82;0,8346
31,86;0,9043
31,9;0,928
31,94;0,9306
31,98;0,9342
32,02;0,9332
32,06;0,9359
32,1;0,9299
32,14;0,9246
32,18;0,9245
32,22;0,9289
32,26;0,9291
32,3;0,9335
32,34;0,9335
32,38;0,9335
32,42;0,9335
32,46;0,9335
32,5;0,5851
32,54;0,6324
32,58;0,7957
32,62;0,8083
32,66;0,87
32,7;0,9249
32,74;0,9293
32,78;0,9249
32,82;0,9249
32,86;0,9293
32,9;0,9293
32,94;0,9335
32,98;0,9356
33,02;0,9239
33,06;0,9099
33,1;0,9295
33,14;0,894
33,18;0,805
33,22;0,7427
33,26;0,7249
33,3;0,6979
33,34;0,7075
33,38;0,6087
33,42;0,5725
33,46;0,5561
33,5;1,1858
33,54;1,1903
33,58;1,186
33,62;1,186
33,66;1,1861
33,7;1,1861
33,74;1,186
33,78;1,1904
33,82;1,186
33,86;1,186
33,9;1,186
33,94;1,186
33,98;1,1862
34,02;1,186
34,06;1,1818
34,1;1,1775
34,14;1,1903
34,18;1,1818
34,22;1,1861
34,26;1,186
34,3;1,1861
34,34;1,1861
34,38;1,1862
34,42;1,1862
34,46;1,1862
34,5;1,1862
34,54;1,1862
34,58;1,1861
34,62;1,1862
34,66;1,1862
34,7;1,1862
34,74;1,1862
34,78;1,1862
34,82;1,1862
34,86;1,1862
34,9;1,1862
34,94;1,1862
34,98;1,1862
