t / s;s_A1 / m
16,25;0,4935
16,29;0,4935
16,33;0,5
16,37;0,4891
16,41;0,4934
16,45;0,4891
16,49;1,0688
16,53;1,093
16,57;0,4848
16,61;1,0336
16,65;1,0546
16,69;0,6273
16,73;1,0326
16,77;0,1784
16,89;0,1143
16,93;0,1379
16,97;0,1719
17,01;0,1822
17,05;0,1862
17,09;0,1722
17,13;0,1677
17,17;0,192
17,21;0,1584
17,25;0,1416
17,29;0,1415
17,33;0,1416
17,37;0,1377
17,41;0,1706
17,53;0,165
17,57;0,165
17,61;0,165
17,65;0,165
17,69;0,165
17,73;0,165
17,77;0,1649
17,81;0,1649
17,85;0,1603
17,89;0,134
17,93;0,1451
17,97;0,183
18,01;0,2043
18,13;0,1894
18,17;0,2416
18,21;0,3006
18,25;0,3749
18,29;0,4436
18,33;0,5278
18,37;0,6021
18,41;0,7059
18,45;0,8056
18,49;0,4905
18,53;0,9552
18,57;0,5027
18,61;0,9678
18,65;0,954
18,69;0,4886
18,73;0,9407
18,77;0,9337
18,81;0,9227
18,85;0,9176
18,89;0,596
18,93;0,4909
18,97;0,4974
19,01;0,4931
19,05;0,4931
19,09;0,4975
19,13;0,4974
19,17;0,5017
19,21;0,4931
19,25;0,5017
19,29;0,4974
19,33;0,5017
19,37;0,5018
19,41;0,4952
19,45;0,5018
19,49;0,4975
19,53;0,4974
19,57;0,4972
19,61;0,95
19,65;0,4985
19,69;0,5058
19,73;0,8488
19,77;0,7865
19,81;0,7417
19,85;0,6643
19,89;0,6336
19,93;0,5518
19,97;0,5043
20,09;1,1133
20,13;1,1274
20,17;1,0969
20,21;1,1099
20,25;0,4918
20,29;0,4961
20,33;1,0921
20,37;1,0838
20,41;1,1222
20,45;1,0925
20,49;1,0921
20,53;0,1621
20,57;0,1646
20,69;0,1113
20,73;0,1558
20,77;0,1096
20,81;0,1845
20,85;0,1649
21,01;0,166
21,05;0,1621
21,17;0,1648
21,21;0,1113
21,25;0,1974
21,29;0,1598
21,33;0,1511
21,37;0,1507
21,41;0,1716
21,45;0,1702
21,57;0,2088
21,61;0,1918
21,65;0,176
21,69;0,1803
21,73;0,1699
21,77;0,1551
21,81;0,1477
21,85;0,1544
21,89;0,151
21,93;0,1469
21,97;0,1516
22,01;0,1561
22,05;0,1604
22,09;0,1646
22,13;0,1632
22,17;0,1523
22,21;0,1523
22,25;0,1523
22,29;0,1479
22,33;0,1479
22,37;0,1522
22,41;0,1521
22,45;0,1521
22,49;0,152
22,53;0,1564
22,57;0,1453
22,61;0,1135
22,65;0,1176
22,69;0,1784
22,73;0,114
22,77;0,1513
22,81;0,2029
22,85;0,2575
22,89;0,32
22,93;0,3875
22,97;0,4556
23,01;0,5288
23,13;0,8087
23,17;0,865
23,21;0,8924
23,25;0,9018
23,29;0,9106
23,33;0,9119
23,37;0,9221
23,41;0,5057
23,45;0,9256
23,49;0,4969
23,53;0,5307
23,57;0,5634
23,61;0,6811
23,65;0,4969
23,69;0,4969
23,73;0,497
23,77;0,738
23,81;0,4969
23,85;0,9085
23,89;0,4969
23,93;0,7784
23,97;0,8748
24,01;0,914
24,05;0,91
24,09;0,4532
24,13;0,4577
24,17;0,4696
24,21;0,9103
24,25;0,4712
24,29;0,481
24,33;0,4775
24,37;0,4824
24,41;0,7863
24,45;0,5656
24,49;0,7163
24,53;0,6753
24,57;0,4887
24,61;0,4822
24,65;1,0834
24,69;0,4822
24,73;0,4822
24,77;0,4908
24,81;1,1007
24,85;1,1007
24,89;1,1007
24,93;1,1007
24,97;1,0963
25,01;1,0878
25,05;1,1006
25,09;1,1049
25,13;1,1007
25,17;1,1007
25,21;1,1007
25,25;1,1007
25,29;1,1007
25,33;1,0963
25,37;0,4866
25,41;0,4866
25,45;0,4844
25,49;1,092
25,53;1,092
25,57;0,4866
25,61;1,0878
25,65;1,0878
25,69;0,4865
25,73;0,4865
25,77;1,0921
25,81;1,0921
25,85;1,0921
25,89;0,4866
25,93;0,4866
25,97;0,4909
26,01;1,0964
26,05;0,4866
26,09;1,0878
26,13;1,0878
26,17;1,0921
26,21;1,0921
26,25;1,0921
26,29;1,0921
26,33;1,0921
26,37;1,092
26,41;1,092
26,45;1,092
26,49;1,092
26,53;1,092
26,57;1,0963
26,61;1,0963
26,65;0,4907
26,69;1,092
26,73;0,4821
26,77;1,0919
26,81;0,4907
26,85;0,4907
26,89;0,4842
26,93;0,5038
26,97;0,4994
27,01;0,4821
27,05;0,4822
27,09;1,0919
27,13;0,4864
27,17;1,0919
27,21;1,0919
27,25;1,0919
