t / s;s_A1 / m
4,95;0,4218
4,99;0,4217
5,03;0,4195
5,07;0,4218
5,11;0,4217
5,15;0,5324
5,19;0,4217
5,23;0,4218
5,27;0,4218
5,4;0,4218
5,44;0,4218
5,48;0,4219
5,52;0,4238
5,56;0,4217
5,6;0,4215
5,64;0,4216
5,68;0,4215
5,72;0,4195
5,76;1,2966
5,8;0,4194
5,83;0,4218
5,87;0,4217
5,91;1,2923
5,95;1,2922
5,99;1,2921
6,03;1,2921
6,07;0,4216
6,11;1,2922
6,15;1,2922
6,31;1,2922
6,35;1,2921
6,4;0,4194
6,44;0,4195
6,48;1,2921
6,52;0,4215
6,56;0,4219
6,6;0,4194
6,99;0,4216
7,03;1,2918
7,07;0,4217
7,19;0,4218
7,23;0,4239
7,27;0,4786
7,31;1,2918
7,35;1,2918
7,4;0,4216
7,44;0,4194
7,48;0,533
7,52;0,4194
7,56;0,4216
7,6;1,2919
7,64;1,2919
7,68;1,2919
7,83;0,4193
7,87;0,4216
7,91;0,4215
7,95;0,4217
7,99;0,4216
8,03;0,4193
8,07;0,5137
8,11;1,292
8,15;1,2878
8,19;0,1693
8,48;0,1906
8,52;0,2241
8,64;0,1102
8,68;0,2116
8,8;0,1534
8,83;0,1529
8,87;0,1612
8,91;0,1653
8,95;0,1653
8,99;0,2012
9,03;0,1155
9,91;0,1136
9,95;0,1136
9,99;0,1136
10,99;0,1099
11,03;0,1106
11,07;0,1586
11,11;0,1568
11,15;0,1784
11,19;0,1296
11,23;0,216
11,27;0,1408
11,31;0,1526
11,35;0,1652
11,4;0,1788
11,44;0,1846
11,48;0,2043
11,52;0,2201
11,56;0,2327
11,6;0,2497
11,72;0,3137
11,76;0,3152
11,87;0,3929
11,91;0,4048
11,95;0,4176
11,99;0,436
12,03;0,4674
12,07;0,4909
12,11;0,528
12,15;0,548
12,19;0,5688
12,23;0,5946
12,27;0,6083
12,31;0,6576
12,35;0,6806
12,4;0,7043
12,44;0,7332
12,48;0,7671
12,52;0,8015
12,56;0,8277
12,6;0,8503
12,64;0,8906
12,68;0,9228
12,72;0,9524
12,76;0,9651
12,8;0,9704
12,83;0,9685
12,87;0,974
12,91;0,9785
12,95;0,9785
12,99;0,9741
13,03;0,9742
13,07;0,9785
13,11;0,9785
13,15;0,9785
13,19;0,9785
13,23;0,9742
13,27;0,9741
13,31;0,9745
13,35;0,9723
13,4;0,986
13,44;0,9935
13,48;0,4213
13,6;0,4212
13,64;0,4214
13,68;0,4214
13,72;1,0526
13,76;0,4213
13,8;1,0706
13,83;0,4214
13,87;0,4214
13,91;0,4214
14,03;0,4213
14,07;0,4191
14,11;0,4213
14,23;0,4213
14,27;0,4213
14,31;0,4212
14,35;0,4212
14,4;0,419
14,44;0,4212
14,48;0,4212
14,52;0,419
14,56;0,419
14,6;0,4212
14,64;0,4213
14,68;0,419
14,72;0,419
14,76;0,419
14,8;0,4212
14,83;0,419
14,87;0,419
14,91;0,419
14,95;0,419
14,99;0,4211
15,03;0,419
15,07;0,419
15,11;0,419
15,15;0,4212
15,19;0,419
15,23;0,419
15,27;0,419
15,31;0,419
15,35;0,419
15,4;0,419
15,44;0,419
15,48;0,419
15,52;0,4212
15,56;0,5213
15,6;1,2913
15,64;0,4213
15,68;0,5281
15,8;0,4213
15,83;1,2872
15,87;0,4212
15,91;0,419
15,95;0,419
15,99;0,419
16,03;0,4211
16,07;0,4212
16,11;1,2915
16,15;0,4191
16,4;0,1096
16,44;0,122
16,48;0,1136
16,52;0,1123
16,56;0,1637
16,6;0,1174
16,64;0,1167
16,68;0,1123
16,72;0,1172
16,76;0,1239
16,8;0,1239
16,83;0,117
16,87;0,1275
16,91;0,1141
16,95;0,1141
16,99;0,1141
17,03;0,1141
17,07;0,1141
17,11;0,1141
17,15;0,1141
17,19;0,1141
17,23;0,1141
17,27;0,1141
17,31;0,1141
17,35;0,114
17,4;0,114
17,44;0,114
17,48;0,1141
17,52;0,114
17,56;0,1141
17,6;0,114
17,64;0,1141
17,76;0,1577
17,8;0,2268
17,83;0,2135
17,95;0,1761
17,99;0,1123
18,03;0,1843
18,07;0,1653
18,11;0,1825
18,15;0,1309
18,19;0,1134
18,23;0,1216
18,27;0,1333
18,31;0,1539
18,35;0,1665
18,4;0,1758
18,44;0,1991
18,48;0,2143
18,52;0,2259
18,56;0,2467
18,68;0,3188
18,72;0,3245
18,83;0,3941
18,87;0,4065
18,91;0,4156
18,95;0,443
18,99;0,4792
19,03;0,4986
19,07;0,5317
19,11;0,5522
19,15;0,5738
19,19;0,6007
19,23;0,6115
19,27;0,6622
19,31;0,6823
19,35;0,7033
19,4;0,7471
19,44;0,7695
19,48;0,7968
19,52;0,8248
19,56;0,8666
19,6;0,9
19,64;0,9387
19,68;0,9519
19,72;0,9592
19,76;0,9569
19,8;0,9613
19,83;0,9612
19,87;0,9611
19,91;0,9612
19,95;0,9614
19,99;0,9615
20,03;0,9615
20,07;0,9615
20,11;0,9615
20,15;0,9617
20,19;0,9623
20,23;0,9627
20,27;0,9629
20,31;0,9631
20,35;0,9632
20,4;0,9632
20,44;0,9632
20,48;0,9632
20,52;0,9632
20,56;0,9632
20,6;0,9632
20,64;0,9632
20,68;0,9633
20,72;0,8636
20,76;0,8877
20,8;0,9591
20,84;0,9591
20,87;0,9634
20,91;0,9634
20,95;0,9592
20,99;0,9634
21,03;0,9636
21,07;0,972
21,11;0,9593
21,15;0,9636
21,19;0,9595
21,23;0,9638
21,27;0,9714
21,31;1,0659
21,35;0,422
21,4;0,9906
21,56;0,4219
21,68;0,4197
21,84;0,4219
21,87;0,4197
21,91;0,4219
21,95;0,4219
21,99;0,4197
22,03;0,4197
22,07;0,4197
22,11;0,4219
22,15;0,4219
22,19;0,5159
22,23;0,4197
22,35;0,4196
22,4;0,4197
22,44;0,4218
22,48;0,4197
22,52;0,4196
22,56;0,4217
22,6;0,4217
22,64;0,4218
22,68;0,5234
22,72;0,4195
22,76;0,4217
22,8;1,2879
22,84;1,2924
22,87;1,2923
22,91;0,1719
22,95;0,1648
22,99;0,1873
23,11;0,2431
23,15;0,1102
23,19;0,1099
23,23;0,1772
23,27;0,1135
23,31;0,1154
23,35;0,1132
23,4;0,2426
23,44;0,1889
23,56;0,1753
23,6;0,1752
23,72;0,1788
23,76;0,1106
23,8;0,1232
23,84;0,1327
23,87;0,1327
23,91;0,1327
23,95;0,1327
23,99;0,1327
24,03;0,1327
24,07;0,1327
24,11;0,1327
24,15;0,1327
24,19;0,1327
24,23;0,1327
24,27;0,1327
24,31;0,1327
24,35;0,1327
24,4;0,1774
24,44;0,1113
24,48;0,1102
24,52;0,1106
24,56;0,1448
24,68;0,1283
24,8;0,1294
24,83;0,1498
24,87;0,1664
24,91;0,1752
24,95;0,1892
24,99;0,2041
25,03;0,2199
25,07;0,2364
25,11;0,2533
25,15;0,2667
25,19;0,3361
25,31;0,4473
25,35;0,3591
25,4;0,3871
25,44;0,4176
25,48;0,4442
25,52;0,4713
25,56;0,4859
25,6;0,5015
25,64;0,5306
25,68;0,5512
25,72;0,5765
25,76;0,5978
25,8;0,6368
25,84;0,6587
25,87;0,6846
25,91;0,7114
25,95;0,7386
25,99;0,7621
26,03;0,7946
26,07;0,8232
26,11;0,8483
26,15;0,4196
26,19;0,9262
26,23;0,9532
26,27;0,9791
26,31;0,4217
26,35;0,9808
26,4;0,9811
26,44;0,9812
26,48;0,4194
26,52;0,9854
26,56;0,9854
26,6;0,9854
26,64;0,9857
26,68;0,9863
26,72;0,9825
26,76;0,4195
26,8;0,4194
26,84;0,9827
26,87;0,9827
26,91;0,4218
26,95;0,4194
26,99;0,4193
27,03;0,4217
27,07;0,4216
27,11;0,4193
27,15;0,9786
27,19;0,4194
27,23;0,9785
27,27;0,4216
27,31;0,4194
27,35;0,9829
27,4;0,4215
27,52;0,4215
27,56;0,4215
27,6;0,4194
27,64;0,4193
27,68;0,4193
27,72;0,9786
27,76;0,4194
27,8;0,4194
27,84;0,9826
27,87;0,4217
27,91;0,9741
27,95;0,4216
27,99;0,9786
28,03;0,4193
28,07;0,4215
28,11;0,4215
28,15;0,4215
28,19;0,4215
28,31;0,4215
28,35;0,4215
28,39;0,4214
28,44;0,9979
28,48;1,0276
28,52;0,4212
28,56;0,419
28,6;0,419
28,64;0,419
28,68;0,9765
28,72;1,2871
28,76;1,2872
28,8;1,2872
28,84;1,2872
28,87;1,2872
28,91;1,2872
28,95;1,2872
28,99;1,2872
29,03;1,2871
29,07;1,2872
29,11;1,2872
29,15;1,2872
29,19;1,2872
29,23;1,2872
29,27;1,2873
29,31;1,2873
29,35;1,2873
29,39;0,4214
29,44;1,2873
29,48;1,2873
29,52;1,2873
29,56;1,2873
29,6;1,2873
29,64;1,2873
29,68;1,2873
29,72;1,2873
29,76;1,2874
29,8;0,4194
29,84;0,4216
29,87;0,4194
29,91;1,2874
29,95;1,2874
29,99;1,2874
30,03;1,2874
30,07;1,2874
30,11;1,2875
30,15;1,2876
30,19;1,2877
30,23;1,2876
30,27;1,2877
30,31;1,2877
30,35;1,2877
30,39;1,2877
30,44;1,2877
30,48;1,2877
30,52;1,2877
30,56;1,2877
30,6;1,2877
30,64;1,2878
30,68;1,2877
30,72;0,4193
30,76;0,4238
30,8;0,6386
30,84;0,1991
30,87;0,1716
30,91;0,1712
30,95;0,1732
31,15;0,1822
31,27;0,1603
31,31;0,1545
31,35;0,1692
31,48;0,163
31,52;0,1538
31,56;0,1493
31,6;0,1539
31,64;0,1585
31,68;0,1628
31,72;0,1668
31,76;0,1626
31,8;0,1629
31,84;0,1629
31,87;0,1672
31,91;0,1629
31,95;0,1717
31,99;0,1905
32,03;0,1109
32,07;0,1131
32,11;0,1953
32,15;0,1743
32,19;0,203
32,31;0,1138
32,35;0,132
32,39;0,149
32,44;0,1539
32,48;0,1638
32,52;0,1836
32,56;0,2
32,6;0,2128
32,64;0,2354
32,68;0,25
32,72;0,261
32,84;0,3817
32,87;0,3493
32,91;0,4497
32,95;0,4208
32,99;0,4401
33,03;0,4599
33,07;0,4841
33,11;0,4956
33,15;0,5204
33,19;0,541
33,23;0,5788
33,27;0,5993
33,31;0,6329
33,35;0,6578
33,39;0,6789
33,44;0,7044
33,48;0,7304
33,52;0,7522
33,56;0,7745
33,6;0,4212
33,64;0,4213
33,68;0,4213
33,72;0,4213
33,76;0,4213
33,8;0,9507
33,84;0,9618
33,87;0,9675
33,91;0,9732
33,95;0,9756
33,99;0,9763
34,03;0,9764
34,07;0,9763
34,11;0,9763
34,15;0,9763
34,19;0,9769
34,23;0,9793
34,27;0,9756
34,31;0,9792
34,35;0,4212
34,39;0,419
34,44;0,4211
34,48;0,4211
34,52;0,4212
34,56;0,419
34,6;0,4212
34,72;0,419
34,76;0,4213
34,8;0,4213
34,84;0,4191
34,87;0,4212
34,91;0,4212
34,95;0,4212
34,99;0,4212
35,03;0,4212
35,07;0,4212
35,27;0,4211
35,31;0,5516
35,35;0,4211
35,6;0,4211
35,72;0,4189
35,76;0,4211
35,8;0,4211
35,84;0,4211
35,87;0,4211
35,91;0,4211
35,95;0,4211
35,99;0,4211
36,03;0,4211
36,07;0,4189
36,11;0,4211
36,15;0,4211
36,19;0,4211
36,23;1,2868
36,27;1,2868
36,31;1,2868
36,35;1,2869
36,39;1,2868
36,44;1,2868
36,48;1,2868
36,52;0,4211
36,56;1,2868
36,6;1,2868
36,64;0,421
36,68;1,2868
36,72;1,2868
36,76;1,2868
36,8;1,2869
36,84;1,2868
36,87;1,2868
36,91;1,2868
36,95;1,2868
36,99;1,2868
37,03;1,2868
37,07;1,2867
37,11;1,2868
37,15;1,2868
37,19;1,2868
37,23;1,2868
37,27;1,2868
37,31;1,2868
37,35;1,2868
37,39;1,2868
37,44;1,2868
37,48;1,2868
37,52;1,2868
37,56;1,2868
37,6;1,2867
37,64;1,2868
37,68;1,2868
37,72;1,2868
37,76;1,2868
37,8;1,2868
37,84;0,421
37,87;1,2868
37,91;1,2867
37,95;0,4211
37,99;0,4211
38,03;1,2867
38,07;1,2867
38,11;1,2868
38,15;0,421
38,19;0,4211
38,23;0,4211
38,27;1,2867
38,31;1,2868
38,35;1,2868
38,39;1,2868
38,44;1,2867
38,48;1,2867
38,52;1,2869
38,56;0,421
38,6;0,1651
38,64;0,1695
38,68;0,2165
38,72;0,1154
38,76;0,221
38,91;0,1176
38,95;0,1154
39,07;0,1109
39,11;0,1149
39,15;0,1111
39,19;0,1135
39,23;0,1135
39,27;0,1112
39,31;0,1112
39,35;0,1135
39,39;0,1135
39,44;0,1112
39,48;0,1112
39,52;0,1135
39,56;0,1135
39,6;0,1112
39,64;0,1112
39,68;0,1135
39,72;0,1135
39,76;0,1112
39,8;0,1112
39,84;0,1135
39,87;0,1135
39,91;0,1135
39,95;0,1135
39,99;0,1112
40,03;0,1135
40,07;0,1112
40,11;0,1135
40,15;0,1112
40,19;0,1135
40,23;0,1135
40,27;0,1135
40,31;0,1112
40,35;0,1135
40,39;0,1135
40,44;0,1135
40,48;0,1112
40,52;0,1134
40,56;0,1135
40,6;0,1135
40,64;0,1135
40,68;0,1135
40,72;0,1135
40,76;0,1135
40,8;0,1112
40,84;0,1135
40,87;0,1135
40,91;0,1847
40,95;0,2021
41,07;0,1154
41,11;0,1822
41,15;0,1322
41,19;0,1218
41,23;0,1428
41,27;0,1555
41,31;0,1774
41,35;0,1913
41,39;0,2059
41,44;0,2211
41,48;0,2371
41,52;0,2496
41,56;0,2712
41,6;0,2887
41,64;0,5263
41,68;0,3321
41,72;0,3516
41,76;0,3675
41,8;0,4527
41,84;0,4205
41,87;0,442
41,91;0,4646
41,95;0,4875
41,99;0,5108
42,03;0,534
42,07;0,5164
42,11;0,4188
42,15;0,6005
42,19;0,6206
42,23;0,641
42,27;0,6618
42,31;0,6873
42,35;0,713
42,39;0,7392
42,44;0,7614
42,48;0,7844
42,52;0,8078
42,56;0,4229
42,6;0,4208
42,64;0,4209
42,68;0,948
42,72;0,9707
42,76;0,9935
42,8;0,9874
42,84;0,9883
42,87;0,984
42,91;0,9883
42,95;0,9883
42,99;0,9884
43,03;0,9884
43,07;0,9884
43,11;0,9884
43,15;0,9884
43,19;0,9884
43,23;0,9884
43,27;0,9883
43,31;0,9883
43,35;0,9883
43,39;0,9883
43,44;0,9884
43,48;0,9927
43,52;0,9927
43,56;0,9926
43,6;0,9926
43,64;0,9927
43,68;0,989
43,72;0,9958
43,76;1,0049
43,8;1,0201
43,84;0,419
43,87;1,0469
43,91;0,419
43,95;0,419
43,99;0,419
44,03;0,4212
44,07;0,4212
44,11;0,419
44,15;0,4212
44,19;0,4212
44,23;0,4212
44,27;0,419
44,31;0,419
44,35;0,4212
44,39;0,4211
44,44;0,419
44,48;0,419
44,6;0,4211
44,64;0,4211
44,76;0,4189
44,8;0,4189
44,84;0,4211
44,95;0,4211
44,99;0,4211
45,03;0,4211
45,07;0,4211
45,11;0,4211
45,23;1,0352
45,27;1,0059
45,31;1,2867
45,35;1,2868
45,39;1,2868
45,44;1,2868
45,48;1,2868
45,52;1,2868
45,56;1,2869
45,6;1,2869
45,64;1,2869
45,68;1,2869
45,72;1,2869
45,76;1,287
45,8;1,287
45,84;1,287
45,87;1,2871
45,91;1,287
45,95;1,287
45,99;1,2871
46,03;1,2871
46,07;1,2872
46,11;1,2872
46,15;1,2872
46,19;0,4193
46,23;1,2958
46,27;0,4298
46,31;0,4554
46,35;0,4415
46,39;0,4811
46,44;0,4264
46,48;0,4628
46,52;0,4475
46,56;0,4469
46,6;1,3002
46,64;1,3002
46,68;0,4446
46,8;0,4599
46,84;1,2874
46,87;1,2874
46,91;1,2875
46,95;1,2875
46,99;1,2874
47,03;1,2875
47,07;1,2875
47,11;1,2875
47,15;1,2875
47,19;1,2874
47,23;1,2874
47,27;1,2874
47,31;1,2873
47,35;1,2874
47,39;1,2874
47,44;1,2874
47,48;1,2874
47,52;1,2875
47,56;1,2874
47,6;0,4215
47,64;1,2874
47,68;1,2875
47,72;1,2875
47,76;1,2874
47,8;1,2874
47,84;1,2874
47,87;0,4215
47,91;1,2874
47,95;1,2874
47,99;1,2874
48,03;0,4193
48,07;1,2875
48,11;1,2874
48,15;1,2874
48,19;1,2873
48,23;1,2873
48,27;1,2874
48,31;1,2872
48,35;1,2873
48,39;1,2872
48,44;1,2873
48,48;1,2873
48,52;1,2873
48,56;1,2873
48,6;1,2873
48,64;1,2873
48,68;1,2873
48,72;1,2874
48,76;0,421
48,8;0,4211
48,84;0,4211
48,87;1,2873
48,91;1,2874
48,95;1,2874
48,99;1,2874
49,03;1,2873
49,07;1,2873
49,11;0,4211
49,15;1,2874
49,19;1,2873
49,23;1,2873
49,27;1,2873
49,31;1,2873
49,35;1,2873
49,39;1,2872
49,44;1,2872
49,48;1,2873
49,52;1,2872
49,56;0,419
49,6;1,2872
49,64;1,2872
49,68;1,2872
49,72;1,2872
49,76;1,2872
49,8;1,2872
49,84;1,2871
49,87;1,2871
49,91;1,2871
49,95;1,287
49,99;1,2871
50,03;1,2871
50,07;0,4211
50,11;0,4212
50,15;1,2871
50,19;1,287
50,23;1,287
50,27;1,287
50,31;0,4212
50,35;1,287
50,39;1,2869
50,52;0,1428
50,56;0,2069
50,6;0,1678
50,64;0,1159
50,68;0,1979
50,72;0,1237
50,76;0,1106
50,8;0,2152
50,84;0,2176
50,95;0,1799
50,99;0,1102
51,03;0,1106
51,07;0,1185
51,11;0,1282
51,15;0,1111
51,19;0,1949
51,23;0,187
51,27;0,1934
51,39;0,1239
51,52;0,1631
51,68;0,174
51,72;0,1736
51,76;0,1128
51,8;0,1401
51,84;0,1291
51,87;0,157
51,91;0,16
51,95;0,1723
51,99;0,1897
52,03;0,1994
52,07;0,2185
52,11;0,2253
52,15;0,2332
52,19;0,2673
52,23;0,2761
52,27;0,3954
52,31;0,337
52,35;0,3566
52,39;0,3855
52,44;0,3966
52,48;0,4051
52,52;0,4278
52,56;0,4511
52,6;0,4749
52,64;0,5033
52,68;0,5443
52,72;0,5507
52,76;0,5803
52,8;0,6059
52,84;0,6273
52,87;0,6486
52,91;0,6752
52,95;0,7021
52,99;0,7337
53,03;0,7571
53,07;0,7812
53,11;0,806
53,15;0,8251
53,27;0,423
53,31;0,9535
53,35;0,967
53,39;0,9757
53,44;0,9801
53,48;0,9808
53,52;0,9808
53,56;0,9808
53,6;0,9807
53,64;0,9808
53,68;0,9808
53,72;0,9808
53,76;0,9808
53,8;0,9808
53,84;0,9808
53,87;0,9808
53,91;0,9807
53,95;0,9808
53,99;0,9808
54,03;0,9808
54,07;0,9851
54,11;0,9851
54,15;0,9851
54,19;0,9851
54,23;0,985
54,27;0,9851
54,31;0,9851
54,35;0,9851
54,39;0,9851
54,44;0,9851
54,48;0,9851
54,52;0,9807
54,56;0,9851
54,6;0,9808
54,64;0,9851
54,68;0,9851
54,72;0,9851
54,76;0,9852
54,8;0,9851
54,84;0,9852
54,87;0,9851
54,91;0,9852
54,95;0,9852
54,99;0,9854
55,03;0,9866
55,07;0,988
55,11;0,9891
55,15;0,9903
55,19;0,9918
55,23;0,993
55,27;0,9938
55,31;0,995
55,35;1,0009
55,39;1,0023
55,44;0,9982
55,48;1,0026
55,52;1,008
55,56;1,0141
55,6;1,0027
55,64;0,421
55,68;0,4189
55,72;0,4189
55,76;1,2906
55,8;1,2862
55,84;1,2862
55,87;1,2863
55,91;1,2863
55,95;1,2862
55,99;0,8948
56,03;0,8681
56,07;0,8585
56,11;0,833
56,15;0,8262
56,19;0,8072
56,23;0,7852
56,27;1,2906
56,31;1,2905
56,35;1,2906
56,39;1,2905
56,44;1,2905
56,48;1,2905
56,52;1,2905
56,56;1,2906
56,6;1,2905
56,64;1,2905
56,68;1,2906
56,72;1,2905
56,76;1,2905
56,8;1,2906
56,84;1,2905
56,87;1,2905
56,91;1,2906
56,95;1,2905
56,99;1,2906
57,03;1,2864
57,07;1,2863
57,11;1,2863
57,15;1,282
57,19;1,2863
57,23;1,2905
57,27;1,2865
57,31;1,2939
57,35;0,421
57,39;0,421
57,52;1,3035
57,56;0,4211
57,6;0,4211
57,64;0,421
57,76;0,421
57,8;0,4209
57,84;0,4209
57,87;0,421
57,91;0,421
57,95;0,421
57,99;0,421
58,03;0,421
58,07;0,421
58,11;0,421
58,15;0,421
58,19;0,421
58,23;0,421
58,27;0,421
58,31;0,421
